Name,Vmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
HATS-46,13.63,0.0,14.5,816.6,0.90,706,0.17
Kepler-424,14.45,0.0,21.0,1191.3,0.90,814,1.03
NGTS-4,13.14,0.0,11.5,651.6,0.90,1103,0.07
HATS-61,13.23,0.0,11.9,679.2,0.90,834,3.40
Kepler-428,15.47,0.0,32.0,1905.5,0.90,714,1.27
HATS-20,13.77,0.0,14.5,871.0,0.90,766,0.27
EPIC_201498078,10.61,0.0,3.4,203.2,0.90,713,0.18
Kepler-448,11.38,0.0,4.7,289.7,0.90,723,1.10
K2-113,13.68,0.0,13.4,835.6,0.90,774,1.29
WASP-162,12.21,0.0,6.8,424.6,0.90,610,5.20
WASP-130,11.11,0.0,4.0,255.9,0.90,556,1.23
CoRoT-28,13.78,0.0,13.5,875.0,0.90,912,0.48
HAT-P-15,12.16,0.0,6.4,415.0,0.90,601,1.95
HD_219666,9.90,0.0,2.2,146.6,0.90,717,0.05
Kepler-425,14.95,0.0,22.8,1499.7,0.90,718,0.25
K2-234,9.38,0.0,1.7,115.3,0.90,704,0.11
CoRoT-23,15.63,0.0,30.9,2051.2,0.90,1144,3.06
K2-135b,10.51,0.0,2.9,194.1,0.90,786,0.02
HATS-07,13.34,0.0,10.1,714.5,0.90,725,0.12
K2-229b,10.98,0.0,3.3,241.0,0.90,1312,0.01
CoRoT-15,15.50,0.0,26.8,1932.0,0.90,1116,64.90
CoRoT-29,15.56,0.0,27.4,1986.1,0.90,815,0.85
K2-100,10.52,0.0,2.7,195.0,0.90,1043,-1.00
HATS-71,16.33,0.0,38.5,2831.4,0.90,408,0.45
CoRoT-26,15.76,0.0,29.5,2177.7,0.90,1052,0.52
K2-106b,12.10,0.0,5.3,403.6,0.90,1491,0.02
Kepler-040,14.59,0.0,16.6,1270.6,0.90,1167,2.16
K2-099,11.15,0.0,3.4,260.6,0.90,853,0.97
Kepler-422,13.55,0.0,10.1,787.1,0.90,749,0.43
CoRoT-33,14.89,0.0,18.5,1458.8,0.90,679,59.00
GJ_1214,14.67,0.0,16.7,1318.3,0.90,382,0.02
Kepler-010b,11.10,0.0,3.1,254.7,0.90,1463,0.01
WASP-047c,11.93,0.0,4.5,373.3,0.90,1476,0.02
CoRoT-17,15.46,0.0,22.5,1896.7,0.90,1074,2.46
CoRoT-25,14.97,0.0,17.9,1513.6,0.90,884,0.37
CoRoT-27,15.54,0.0,23.0,1967.9,0.90,906,10.39
GJ_3470,12.27,0.0,4.9,436.5,0.90,433,0.04
HD_219134c,5.57,0.0,0.2,20.0,0.90,523,0.01
LHS_3844,15.26,0.0,18.4,1729.8,0.90,539,-1.00
CoRoT-06,13.91,0.0,9.9,929.0,0.90,686,2.96
CoRoT-07,11.72,0.0,3.5,338.8,0.90,1177,0.02
WASP-059,13.00,0.0,6.4,610.9,0.90,445,0.86
CoRoT-16,15.63,0.0,18.4,2051.2,0.90,800,0.54
Kepler-021,8.25,0.0,0.6,68.5,0.90,1355,0.02
EPIC_249451861,11.41,0.0,2.5,293.8,0.90,549,0.32
Kepler-004,12.09,0.0,3.5,401.8,0.90,1084,0.07
CoRoT-04,14.00,0.0,8.3,968.3,0.90,708,0.73
K2-055,13.55,0.0,6.7,787.1,0.90,629,0.14
Kepler-427,14.31,0.0,9.4,1116.9,0.90,720,0.29
K2-108,12.47,0.0,3.5,478.6,0.90,976,0.19
Kepler-063,11.73,0.0,2.4,340.4,0.90,603,0.00
LHS_6343,13.44,0.0,5.0,748.2,0.90,239,62.10
K2-019b,13.00,0.0,3.9,610.9,0.90,588,0.09
EPIC_247418783,10.01,0.0,1.0,154.2,0.90,935,0.02
Kepler-101b,13.99,0.0,6.1,963.8,0.90,1048,0.16
Kepler-074,14.56,0.0,7.8,1253.2,0.90,733,0.63
HD_097658,7.71,0.0,0.3,53.5,0.90,507,0.02
Kepler-730b,15.80,0.0,12.9,2218.2,0.90,814,-1.00
POTS-1,17.94,0.0,32.6,5943.0,0.90,563,2.31
Kepler-503,14.94,0.0,7.7,1492.8,0.90,866,78.60
K2-137,15.50,0.0,9.5,1932.0,0.90,983,0.00
CoRoT-20,14.66,0.0,6.5,1312.2,0.90,684,4.14
EPIC_246471491b,12.03,0.0,1.9,390.8,0.90,728,0.03
EPIC_211442297,13.34,0.0,3.4,714.5,0.90,454,0.84
Kepler-075,15.52,0.0,8.5,1949.9,0.90,553,10.10
EPIC_211945201,10.15,0.0,0.7,164.4,0.90,593,0.09
EPIC_211418729,14.57,0.0,5.3,1258.9,0.90,482,1.85
K2-265,11.10,0.0,1.1,254.7,0.90,950,0.02
Kepler-089d,12.33,0.0,1.8,448.7,0.90,599,0.33
HATS-17,12.39,0.0,1.8,461.3,0.90,544,1.34
Kepler-434,14.65,0.0,5.0,1306.2,0.90,669,2.86
Kepler-025c,10.98,0.0,0.9,241.0,0.90,698,0.08
K2-032b,12.31,0.0,1.7,444.6,0.90,552,0.05
Kepler-068b,10.11,0.0,0.6,161.4,0.90,838,0.02
CoRoT-08,14.76,0.0,4.9,1374.1,0.90,582,0.22
K2-027b,12.64,0.0,1.8,517.6,0.90,615,0.10
K2-216,12.48,0.0,1.7,480.8,0.90,736,0.02
HD_106315c,8.95,0.0,0.3,94.6,0.90,584,0.05
K2-233b,10.73,0.0,0.7,214.8,0.90,756,-1.00
K2-139,11.65,0.0,1.0,328.1,0.90,378,0.39
HD_106315b,8.95,0.0,0.3,94.6,0.90,760,0.04
K2-138c,12.21,0.0,1.3,424.6,0.90,762,-1.00
Kepler-056b,12.72,0.0,1.6,537.0,0.90,1001,0.07
Wolf_503,10.28,0.0,0.5,174.6,0.90,529,-1.00
K2-028,16.06,0.0,7.4,2500.4,0.90,402,-1.00
GJ_1132,13.49,0.0,2.2,765.6,0.90,391,0.01
K2-135d,10.51,0.0,0.5,194.1,0.90,456,0.01
CoRoT-32,14.47,0.0,3.3,1202.3,0.90,642,0.15
Kepler-025b,10.98,0.0,0.7,241.0,0.90,887,0.03
Kepler-088b,13.27,0.0,1.9,691.8,0.90,699,0.03
Kepler-056c,12.72,0.0,1.4,537.0,0.90,790,0.57
CoRoT-24b,13.20,0.0,1.8,669.9,0.90,626,0.00
Kepler-065b,11.10,0.0,0.7,254.7,0.90,1271,-1.00
Kepler-018c,13.75,0.0,2.2,863.0,0.90,666,0.05
HD_080606,9.06,0.0,0.2,99.5,0.90,271,4.11
KOI-205,14.76,0.0,3.4,1374.1,0.90,511,40.80
CoRoT-10,15.22,0.0,4.0,1698.3,0.90,433,2.78
Kepler-065c,11.10,0.0,0.6,254.7,0.90,912,-1.00
EPIC_249624646c,11.11,0.0,0.6,255.9,0.90,452,0.77
Kepler-093b,9.93,0.0,0.3,148.6,0.90,758,0.01
Kepler-039,14.33,0.0,2.4,1127.2,0.90,569,19.10
K2-135c,10.51,0.0,0.4,194.1,0.90,544,0.00
K2-066,11.71,0.0,0.7,337.3,0.90,1003,0.07
K2-138b,12.21,0.0,0.9,424.6,0.90,875,-1.00
K2-098,12.17,0.0,0.8,416.9,0.90,736,0.10
K2-138d,12.21,0.0,0.8,424.6,0.90,663,-1.00
WASP-047d,11.93,0.0,0.7,373.3,0.90,653,0.04
EPIC_246471491c,12.03,0.0,0.8,390.8,0.90,496,0.05
Kepler-410,9.46,0.0,0.2,119.7,0.90,683,0.00
K2-024b,11.28,0.0,0.5,276.7,0.90,498,0.06
EPIC_249624646b,11.11,0.0,0.4,255.9,0.90,822,0.00
K2-138e,12.21,0.0,0.7,424.6,0.90,576,-1.00
Kepler-018d,13.75,0.0,1.5,863.0,0.90,534,0.05
Kepler-089c,12.33,0.0,0.7,448.7,0.90,772,0.05
Kepler-009d,13.93,0.0,1.5,937.6,0.90,1107,-1.00
Kepler-432,12.44,0.0,0.7,472.1,0.90,595,5.41
CoRoT-24c,13.20,0.0,1.0,669.9,0.90,473,0.09
K2-111,11.14,0.0,0.4,259.4,0.90,822,0.03
Kepler-009b,13.93,0.0,1.4,937.6,0.90,482,0.14
HD_021749,8.14,0.0,0.1,65.2,0.90,285,0.07
K2-024c,11.28,0.0,0.4,276.7,0.90,393,0.05
K2-019c,13.00,0.0,0.8,610.9,0.90,513,0.08
Kepler-050c,10.48,0.0,0.3,191.4,0.90,855,0.00
K2-229c,10.98,0.0,0.3,241.0,0.90,541,0.00
K2-038b,11.39,0.0,0.4,291.1,0.90,866,0.04
Kepler-020b,12.65,0.0,0.7,520.0,0.90,809,0.03
K2-096c,8.94,0.0,0.1,94.2,0.90,371,0.03
CoRoT-22,13.94,0.0,1.1,941.9,0.90,673,0.00
Kepler-080f,15.18,0.0,2.0,1667.3,0.90,911,-1.00
HD_119130,9.92,0.0,0.2,147.9,0.90,532,0.08
Kepler-050b,10.48,0.0,0.2,191.4,0.90,909,0.00
Kepler-117b,14.48,0.0,1.3,1207.8,0.90,661,0.09
Kepler-089b,12.33,0.0,0.5,448.7,0.90,1086,0.03
Kepler-693,16.71,0.0,3.4,3372.9,0.90,430,0.90
Kepler-1656,11.24,0.0,0.3,271.6,0.90,437,0.15
Kepler-018b,13.75,0.0,0.8,863.0,0.90,864,0.02
LHS_1140c,14.15,0.0,0.9,1037.5,0.90,293,0.01
K2-038c,11.39,0.0,0.3,291.1,0.90,627,0.03
K2-003b,12.17,0.0,0.4,416.9,0.90,344,0.02
Kepler-020c,12.65,0.0,0.4,520.0,0.90,565,0.04
Kepler-036c,12.22,0.0,0.3,426.6,0.90,679,0.02
Kepler-454,11.59,0.0,0.3,319.2,0.90,613,0.02
EPIC_248435473d,11.81,0.0,0.3,353.2,0.90,346,-1.00
K2-233c,10.73,0.0,0.2,214.8,0.90,533,-1.00
Kepler-1655,11.05,0.0,0.2,248.9,0.90,627,0.02
Kepler-419,13.08,0.0,0.5,633.9,0.90,456,2.77
K2-180,12.60,0.0,0.4,508.2,0.90,500,0.04
K2-110,11.91,0.0,0.3,369.8,0.90,427,0.05
K2-138f,12.21,0.0,0.3,424.6,0.90,498,-1.00
K2-133b,14.00,0.0,0.6,968.3,0.90,445,-1.00
Kepler-117c,14.48,0.0,0.8,1207.8,0.90,475,1.84
K2-106c,12.10,0.0,0.2,403.6,0.90,528,0.02
K2-155b,12.81,0.0,0.3,559.8,0.90,392,-1.00
K2-233d,10.73,0.0,0.1,214.8,0.90,353,-1.00
Kepler-009c,13.93,0.0,0.5,937.6,0.90,381,0.09
Kepler-065d,11.10,0.0,0.1,254.7,0.90,821,0.00
Kepler-032f,16.45,0.0,1.5,2992.3,0.90,886,-1.00
EPIC_246471491d,12.03,0.0,0.2,390.8,0.90,415,0.00
EPIC_248435473e,11.81,0.0,0.2,353.2,0.90,315,-1.00
K2-133c,14.00,0.0,0.4,968.3,0.90,381,-1.00
Kepler-046b,15.49,0.0,0.9,1923.1,0.90,363,0.89
TRAPPIST-1b,18.80,0.0,3.9,8830.9,0.90,263,0.00
CoRoT-09,13.69,0.0,0.4,839.5,0.90,280,0.84
K2-032c,12.31,0.0,0.2,444.6,0.90,418,0.00
Kepler-089e,12.33,0.0,0.2,448.7,0.90,445,0.11
Kepler-080b,15.18,0.0,0.7,1667.3,0.90,474,0.02
Kepler-080d,15.18,0.0,0.7,1667.3,0.90,625,0.02
Kepler-444c,9.17,0.0,0.0,104.7,0.90,655,-1.00
Kepler-031b,15.35,0.0,0.7,1803.0,0.90,585,0.00
Kepler-079b,14.03,0.0,0.4,981.8,0.90,664,0.03
Kepler-444b,9.17,0.0,0.0,104.7,0.90,708,-1.00
K2-229d,10.98,0.0,0.1,241.0,0.90,349,0.00
K2-021b,12.85,0.0,0.2,570.2,0.90,374,-1.00
Kepler-011c,13.86,0.0,0.3,907.8,0.90,576,0.01
K2-155c,12.81,0.0,0.2,559.8,0.90,302,-1.00
Kepler-444f,9.17,0.0,0.0,104.7,0.90,495,-1.00
Kepler-030c,15.62,0.0,0.7,2041.8,0.90,316,1.69
K2-032d,12.31,0.0,0.1,444.6,0.90,362,0.03
Kepler-444d,9.17,0.0,0.0,104.7,0.90,590,-1.00
Kepler-080c,15.18,0.0,0.5,1667.3,0.90,428,0.02
K2-095,17.07,0.0,1.2,3981.1,0.90,278,-1.00
K2-133d,14.00,0.0,0.3,968.3,0.90,291,-1.00
Kepler-730c,15.80,0.0,0.6,2218.2,0.90,1072,-1.00
Kepler-068c,10.11,0.0,0.0,161.4,0.90,692,0.01
Kepler-029b,15.46,0.0,0.5,1896.7,0.90,582,0.01
Kepler-080e,15.18,0.0,0.4,1667.3,0.90,544,0.01
Kepler-079d,14.03,0.0,0.3,981.8,0.90,424,0.02
Kepler-069b,13.89,0.0,0.2,920.5,0.90,572,-1.00
K2-021c,12.85,0.0,0.1,570.2,0.90,315,-1.00
Kepler-062b,13.89,0.0,0.2,920.5,0.90,540,0.00
Kepler-037d,10.03,0.0,0.0,155.6,0.90,336,0.00
Kepler-444e,9.17,0.0,0.0,104.7,0.90,548,-1.00
Kepler-539,12.53,0.0,0.1,492.0,0.90,259,0.97
Kepler-087b,14.78,0.0,0.3,1386.8,0.90,351,1.02
Kepler-186b,15.23,0.0,0.4,1706.1,0.90,461,-1.00
Kepler-051b,14.83,0.0,0.3,1419.1,0.90,363,0.01
TRAPPIST-1c,18.80,0.0,2.0,8830.9,0.90,224,0.00
Kepler-032b,16.45,0.0,0.7,2992.3,0.90,443,0.00
K2-026b,14.53,0.0,0.3,1236.0,0.90,284,-1.00
Kepler-420,14.88,0.0,0.3,1452.1,0.90,306,1.45
