Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
OGLE-TR-056		-1.00		2307		2979.3		1.21		1.41		2.50		2953
OGLE-TR-010		-1.00		982		1268.3		3.10		0.68		1.79		2021
WASP-033		7.47		2671		69.8		1.22		2.16		2.99		3253
KELT-09		7.48		1997		51.9		1.48		2.88		3.04		4818
HD_189733		5.54		586		37.3		2.22		1.15		3.11		1417
WASP-018		8.13		1839		35.4		0.94		10.52		5.24		2869
WASP-121		9.37		3037		33.1		1.27		1.18		2.18		2805
WASP-076		8.24		1776		32.5		1.81		0.92		1.96		2596
HD_209458		6.31		611		27.2		3.52		0.71		2.27		1736
WASP-012		10.19		3128		23.3		1.09		1.47		2.36		3047
KELT-07		7.54		911		23.1		2.73		1.28		2.65		2439
WASP-019		10.48		3326		21.7		0.79		1.14		2.70		2472
MASCARA-1		7.74		902		20.8		2.15		3.70		3.75		3028
WASP-074		8.22		1062		19.6		2.14		0.95		2.32		2287
WASP-043		9.27		1700		19.4		0.81		2.03		3.89		1714
WASP-122		9.42		1773		18.9		1.71		1.28		2.39		2333
WASP-103		10.77		3171		18.1		0.93		1.47		2.64		2961
HAT-P-32		9.99		1928		15.8		2.15		0.80		1.85		2143
KELT-04		8.69		1052		15.7		2.99		0.90		2.09		2169
KELT-16		10.64		2356		14.3		0.97		2.75		3.57		2918
WASP-003		9.36		1285		14.1		1.85		1.77		3.23		2372
KELT-17		8.65		911		13.8		3.08		1.31		2.68		2482
WASP-082		8.76		914		13.2		2.71		1.25		2.40		2625
WASP-014		8.62		827		12.7		2.24		7.59		4.85		2212
WASP-095		8.56		791		12.5		2.19		1.13		3.00		1923
WASP-087		9.60		1278		12.5		1.68		2.18		3.38		2749
WASP-140		9.17		1023		12.2		2.24		2.44		3.42		1578
TrES-3		10.61		1931		11.9		1.31		1.90		3.36		1949
KELT-01		9.44		1131		11.9		1.22		27.38		6.35		2883
KELT-08		9.18		995		11.8		3.24		0.87		1.87		1995
KELT-11		6.12		239		11.7		4.74		0.17		0.89		2026
KELT-03		8.66		753		11.4		2.70		1.48		3.05		2161
WASP-111		9.00		858		11.1		2.31		1.83		3.13		2524
