System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
WASP-042,18.2,2075,10.03,1215.6,4.98,0.53
XO-4,18.1,1631,9.41,1953.0,4.12,1.61
HAT-P-14,18.1,1267,8.85,1932.0,4.63,2.27
WASP-058,18.0,2371,10.29,1519.2,5.02,0.89
WASP-055,17.7,2481,10.40,1547.2,4.47,0.63
Qatar-4,17.6,3965,11.52,1647.1,1.80,6.10
HAT-P-04,17.6,1844,9.77,2072.4,3.06,0.68
HATS-06,17.6,3047,11.22,857.7,3.33,0.32
WASP-081,17.5,3053,10.89,1935.7,2.72,0.73
HAT-P-47,17.3,1564,9.40,1908.2,4.73,0.21
55_Cnc_e,17.0,121,4.01,2329.1,0.74,0.03
WASP-021,17.0,1957,9.98,1621.2,4.32,0.28
WTS-2,16.9,8959,13.41,1825.9,1.02,1.12
HD_017156,16.8,441,6.76,1050.9,21.22,3.26
HATS-52,16.7,5140,12.11,2230.6,1.37,2.24
HATS-35,16.5,3257,11.12,2418.5,1.82,1.22
HATS-34,16.4,4860,12.10,1716.8,2.11,0.94
WASP-078,16.3,3023,11.01,2799.7,2.17,0.86
WASP-063,16.2,1407,9.39,1875.9,4.38,0.38
WASP-099,16.2,786,8.09,1747.6,5.75,2.78
WASP-068,16.2,1155,8.95,1768.9,5.08,0.95
WASP-071,16.1,1377,9.32,2479.4,2.90,2.24
WASP-045,16.0,2033,10.29,1391.9,3.13,1.00
HAT-P-25,15.6,2567,10.81,1431.1,3.65,0.57
WASP-028,15.5,2536,10.73,1727.3,3.41,0.89
WASP-114,15.4,2915,11.07,2412.9,1.55,1.77
WASP-120,15.1,1687,9.88,2231.4,3.61,4.85
LP_415-17d,14.9,10,-1.00,422.6,40.72,-1.00
HAT-P-46,14.8,1681,9.93,1726.6,4.46,0.49
K2-034,14.8,1893,10.19,1987.8,3.00,1.65
HATS-21,14.7,2152,10.53,1526.3,3.55,0.33
WASP-118,14.7,1573,9.79,2085.7,4.05,0.52
WASP-072,14.6,1442,9.62,2619.5,2.22,1.46
WASP-136,14.6,990,8.81,2072.8,5.21,1.51
HATS-30,14.5,2422,10.79,1682.7,3.17,0.71
HAT-P-18,14.5,1757,10.23,1000.4,5.51,0.20
WASP-092,14.1,3336,11.52,2236.0,2.17,0.81
WASP-047b,14.0,1744,10.19,1508.5,4.16,1.14
HAT-P-65,14.0,3274,11.53,2296.3,2.60,0.53
HAT-P-40,14.0,1642,10.01,2100.6,4.46,0.61
WASP-022,14.0,1900,10.32,1787.9,3.53,0.62
HAT-P-34,14.0,1173,9.25,1759.4,5.45,3.33
WASP-096,13.9,2399,10.91,1518.8,3.43,0.48
HATS-03,13.7,2226,10.69,1959.9,3.55,1.07
HAT-P-24,13.7,2068,10.54,1930.1,3.35,0.68
WASP-090,13.6,1801,10.25,2192.5,3.92,0.63
HAT-P-37,13.5,3309,11.67,1517.5,2.80,1.17
K2-030,13.4,2530,11.09,1390.9,4.10,0.62
XO-5,13.4,1776,10.35,1442.4,4.19,1.19
HATS-51,13.1,2247,10.87,1840.0,3.35,0.77
WASP-124,13.1,2785,11.31,1653.9,3.37,0.60
WASP-126,13.1,1252,9.60,1769.2,3.29,0.28
WASP-117,13.0,866,8.78,1218.4,10.02,0.28
WASP-037,12.9,2481,11.09,1615.7,3.58,1.80
LHS_6343,12.9,671,8.70,425.7,12.71,62.10
HATS-29,12.9,2210,10.88,1439.7,4.61,0.65
HAT-P-21,12.9,1544,10.11,1515.8,4.12,4.06
HAT-P-44,12.8,2585,11.28,1313.9,4.30,0.35
HAT-P-28,12.7,2418,11.10,1642.4,3.26,0.63
KELT-06,12.7,972,9.08,1561.3,7.85,0.43
Kepler-017,12.7,4807,12.59,2036.8,1.49,2.34
WASP-089,12.7,2206,11.00,1290.2,3.36,5.90
WASP-132,12.6,1170,9.67,905.4,7.13,0.41
CoRoT-11,12.5,2617,11.25,2033.0,2.99,2.34
WASP-044,12.4,2606,11.34,1552.0,2.42,0.87
WASP-113,12.4,1649,10.31,1765.9,4.54,0.47
WASP-142,12.3,2792,11.44,2389.5,2.05,0.84
WASP-057,12.3,2490,11.24,1592.9,2.84,0.64
HATS-43,12.2,2777,11.56,1185.2,4.39,0.26
WASP-088,12.2,1671,10.32,2097.4,4.95,0.56
HAT-P-48,12.2,1589,10.26,1618.5,4.41,0.17
Qatar-5,12.1,2172,10.96,1682.8,2.88,4.32
HAT-P-11,12.1,333,7.01,996.7,4.89,0.08
HATS-22,12.1,2035,10.94,1020.1,4.72,2.74
HAT-P-09,11.7,2214,11.02,1832.4,3.92,0.78
HATS-13,11.6,3278,11.98,1481.2,3.04,0.54
WASP-102,11.5,2226,11.11,1962.8,2.71,0.62
WASP-073,11.5,857,9.03,2119.5,4.09,1.88
HAT-P-39,11.5,2306,11.16,2054.7,3.54,0.60
WASP-153,11.3,2116,11.05,2036.4,3.33,0.39
WASP-056,11.0,1609,10.53,1449.8,4.17,0.57
WASP-059,10.9,1030,9.72,790.9,7.92,0.86
OGLE-TR-113,10.9,4715,13.00,1597.7,1.43,1.23
GJ_3470,10.9,420,7.99,769.5,3.34,0.04
WASP-066,10.8,1580,10.45,2143.1,4.09,2.32
HAT-P-51,10.8,2556,11.61,1416.3,4.22,0.31
Kepler-045,10.7,4042,12.89,935.9,2.46,0.50
HAT-P-53,10.7,3277,12.10,2113.4,1.96,1.48
HAT-P-50,10.7,1586,10.50,2205.3,3.12,1.35
WASP-083,10.6,1445,10.39,1326.0,4.97,0.30
WASP-112,10.5,2885,11.90,1648.0,3.04,0.88
GJ_1132,10.5,446,8.32,764.9,1.63,0.01
HD_219134b,10.4,50,3.26,1207.5,3.09,0.01
HAT-P-35,10.4,1958,11.03,1902.1,3.65,1.05
WASP-133,10.4,2045,11.18,2112.2,2.18,1.16
HAT-P-43,10.3,2652,11.76,1615.6,3.33,0.66
HATS-25,10.3,2275,11.42,1517.8,4.30,0.61
HAT-P-31,10.3,1246,10.08,1729.8,5.00,2.17
WASP-105,10.3,1108,9.94,1007.3,7.87,1.80
WASP-060,10.2,1568,10.59,1760.3,4.30,0.56
HATS-04,10.1,2395,11.61,1566.5,2.52,1.32
HAT-P-55,10.1,2464,11.63,1561.0,3.58,0.58
HATS-28,10.0,2987,12.09,1489.8,3.18,0.67
HAT-P-52,10.0,2349,11.62,1447.0,2.75,0.82
HAT-P-15,10.0,966,9.64,1068.9,10.86,1.95
HATS-26,9.8,2216,11.44,2285.6,3.30,0.65
WASP-129,9.7,1362,10.41,1281.1,5.75,1.00
HAT-P-29,9.7,1305,10.30,1495.6,5.72,0.78
WASP-138,9.6,1421,10.49,1896.0,3.63,1.22
CoRoT-18,9.6,4339,13.01,1773.5,1.90,3.27
WASP-157,9.5,1564,10.76,1550.9,3.95,0.57
HAT-P-42,9.5,1459,10.63,1699.2,4.64,1.04
HATS-53,9.4,2751,12.05,1558.0,3.85,0.59
HATS-05,9.3,1450,10.70,1219.5,4.76,0.24
HATS-44,9.3,2810,12.17,1403.8,2.74,0.56
Kepler-012,9.3,2788,12.07,1767.4,4.44,0.43
Qatar-3,9.2,1871,11.22,1998.5,2.51,4.31
HATS-31,9.0,2163,11.57,2170.4,3.38,0.88
WASP-151,9.0,1798,11.19,1560.4,4.53,0.36
HATS-15,8.9,3504,12.72,1776.1,1.75,2.17
WASP-061,8.9,1660,11.01,1851.6,3.86,2.06
HATS-19,8.9,2058,11.51,1843.3,4.57,0.43
WASP-141,8.8,1778,11.19,1875.5,3.31,2.69
HATS-09,8.8,1952,11.48,2161.2,1.92,0.82
K2-107,8.7,1771,11.21,2106.1,3.31,0.84
HAT-P-66,8.5,2146,11.68,2260.4,2.97,0.78
HATS-16,8.2,2705,12.28,1892.5,2.69,3.27
HATS-14,8.1,2348,12.04,1516.4,2.77,1.07
HAT-P-38,8.1,1150,10.50,1284.3,4.64,0.27
WASP-130,8.1,720,9.46,989.3,11.55,1.23
Kepler-423,7.9,3229,12.78,1641.6,2.68,0.59
EPIC_219388192,7.8,1266,10.73,1384.7,5.29,36.84
HATS-11,7.8,2543,12.24,1944.5,3.62,0.83
WASP-139,7.8,1081,10.47,1092.0,5.92,0.12
Kepler-006,7.7,1871,11.63,1726.5,3.23,0.63
WASP-030,7.5,962,10.20,1778.7,4.16,62.50
Kepler-412,7.5,3169,12.84,2175.0,1.72,0.94
HAT-P-26,7.4,670,9.58,1165.7,4.24,0.06
WASP-156,7.3,589,9.34,1153.5,3.84,0.13
HATS-27,7.0,1697,11.55,1970.5,4.64,0.53
HATS-32,6.9,2745,12.70,1707.0,2.81,0.92
Kepler-007,6.8,1603,11.54,1927.1,4.88,0.45
Kepler-041,6.7,2897,12.89,2127.1,1.86,0.56
OGLE-TR-L9,6.6,3328,13.12,2420.1,2.49,4.40
HATS-10,6.6,1523,11.51,1672.9,3.31,0.53
WASP-106,6.6,822,10.16,1341.3,9.29,1.93
Kepler-448,6.4,850,10.23,1285.2,17.86,1.10
Kepler-008,6.1,2040,12.29,1978.5,3.52,0.59
HATS-45,6.0,1918,12.14,1807.1,4.19,0.70
CoRoT-05,5.9,2248,12.55,1603.9,4.04,0.47
CoRoT-12,5.8,3450,13.56,1677.1,2.83,0.89
Kepler-015,5.8,1843,12.22,1487.7,4.94,0.70
EPIC_246067459,5.8,1684,12.03,1898.5,3.21,0.86
HATS-50,5.6,1882,12.29,1616.4,3.82,0.39
HD_219134c,5.6,27,3.26,930.3,6.76,0.01
HATS-12,5.6,1252,11.39,2495.2,3.14,2.39
Kepler-005,5.6,1481,11.77,2013.7,3.55,2.03
Kepler-428,5.4,2677,13.23,1269.7,3.53,1.27
HATS-46,5.3,1500,11.97,1256.5,4.74,0.17
Kepler-426,5.0,2538,13.21,1547.9,3.22,0.34
CoRoT-19,5.0,1353,11.84,1937.9,3.90,1.09
HATS-36,5.0,2103,12.81,1621.3,4.17,2.79
Kepler-077,4.9,1658,12.36,1484.9,3.58,0.43
WASP-086,4.9,426,9.36,1647.5,5.03,0.82
CoRoT-06,4.7,1458,12.12,1220.0,8.89,2.96
Kepler-425,4.7,1909,12.81,1276.6,3.80,0.25
CoRoT-33,4.6,1810,12.71,1207.5,5.82,59.00
HATS-20,4.5,1186,11.86,1362.6,3.80,0.27
Kepler-043,4.3,1639,12.55,1906.4,3.02,3.09
Kepler-424,4.3,1536,12.47,1447.5,3.31,1.03
HATS-07,4.3,747,10.98,1288.7,3.19,0.12
K2-113,4.3,1202,11.95,1377.2,5.82,1.29
K2-060,4.0,723,10.99,1573.8,3.00,0.43
CoRoT-29,3.9,1792,13.05,1449.3,2.85,0.85
POTS-1,3.9,2914,14.24,1001.5,3.16,2.31
Kepler-1654,3.9,3,-1.00,244.9,1047.84,0.00
Kepler-422,3.9,1157,12.04,1332.0,7.89,0.43
CoRoT-03,3.8,964,11.62,1963.0,4.26,21.96
