Name		Bmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-79 e		14.55		0		0.0		81.07		0.01		1.20		694
Kepler-20 d		13.41		0		0.0		77.61		0.02		2.32		518
Kepler-154 f		15.11		0		0.0		9.92		0.01		2.84		1107
Kepler-33 d		14.39		0		0.0		21.78		0.10		2.38		1121
Kepler-63 b		12.36		0		0.0		9.43		0.13		2.39		1030
XO-1 b		11.88		0		0.0		3.94		0.92		2.80		1436
WTS-1 b		16.63		0		0.0		3.35		4.00		3.84		1780
Kepler-132 c		12.49		0		0.0		6.41		0.01		2.62		1438
CoRoT-22 b		14.74		0		0.0		9.76		0.04		1.61		1196
WASP-35 b		11.56		0		0.0		3.16		0.72		2.37		1727
HAT-P-36 b		13.08		1		0.0		1.33		1.84		3.40		2163
Kepler-12 b		13.96		0		0.0		4.44		0.43		1.36		1761
Kepler-462 b		11.95		0		0.0		84.69		0.04		2.32		873
Kepler-338 d		12.88		0		0.0		44.43		0.03		2.27		903
Qatar-1 b		13.90		0		0.0		1.42		1.09		3.04		1652
Kepler-129 c		12.67		0		0.0		82.20		0.02		2.32		697
HAT-P-6 b		11.11		0		0.0		3.85		1.06		2.74		1990
WASP-36 b		13.10		0		0.0		1.54		2.27		3.60		2021
Kepler-132 b		12.49		0		0.0		6.18		0.01		2.54		1456
WASP-101 b		10.74		0		0.0		3.59		0.50		1.88		1849
Kepler-102 d		12.58		0		0.0		10.31		0.01		2.60		825
WASP-31 b		12.01		0		0.0		3.41		0.48		1.66		1873
Kepler-444 e		9.67		0		0.0		7.74		0.00		1.37		950
Kepler-444 d		9.67		0		0.0		6.19		0.00		1.33		1023
CoRoT-17 b		16.96		0		0.0		3.77		2.46		4.12		1847
WASP-61 b		12.83		0		0.0		3.86		2.05		3.55		1843
K2-3 d		13.52		0		0.0		44.56		0.01		2.75		367
HD 209458 b		8.24		0		0.0		3.52		0.69		2.27		1720
HAT-P-15 b		12.77		0		0.0		10.86		1.95		3.79		1069
WASP-60 b		12.86		0		0.0		4.31		0.51		2.89		1568
Kepler-130 b		12.16		0		0.0		8.46		0.00		2.28		1257
Kepler-19 b		12.88		0		0.0		9.29		0.02		2.41		1007
Kepler-33 e		14.39		0		0.0		31.78		0.05		2.36		988
HAT-P-9 b		12.84		0		0.0		3.92		0.78		2.33		1820
Kepler-144 b		12.69		0		0.0		5.89		0.01		2.68		1533
WASP-82 b		10.52		3		0.0		2.71		1.25		2.45		2592
Kepler-136 c		12.51		0		0.0		16.40		0.01		2.49		1158
WASP-71 b		11.35		1		0.0		2.90		2.24		3.25		2455
WASP-26 b		11.62		0		0.0		2.76		1.02		2.72		1680
Kepler-40 b		14.90		0		0.0		6.87		2.18		3.72		1919
Kepler-127 b		12.07		0		0.0		14.44		0.01		2.75		1199
Kepler-154 c		15.11		0		0.0		62.30		0.03		2.28		589
WASP-8 b		10.52		0		0.0		8.16		2.14		3.94		1103
55 Cnc e		6.83		0		0.0		0.74		0.03		2.99		2329
WASP-77 A b		11.07		0		0.0		1.36		1.76		3.44		1988
HAT-P-57 b		10.96		2		0.0		2.47		1.00		2.57		2614
Kepler-431 d		12.85		0		0.0		11.92		0.00		2.44		1113
HAT-P-31 b		12.01		0		0.0		5.01		2.17		3.89		1640
Kepler-431 c		12.85		0		0.0		8.70		0.00		1.67		1236
HATS-5 b		13.44		0		0.0		4.76		0.24		2.00		1220
Kepler-20 c		13.41		0		0.0		10.85		0.05		2.84		999
Kepler-278 b		12.79		0		0.0		30.16		0.05		2.37		1126
WASP-58 b		12.33		0		0.0		5.02		0.89		2.51		1518
HAT-P-28 b		13.40		0		0.0		3.26		0.63		2.41		1643
Kepler-37 b		10.45		0		0.0		13.37		0.01		5.83		852
HAT-P-30 b		10.87		0		0.0		2.81		0.71		2.33		1947
Kepler-248 c		16.21		0		0.0		16.24		0.05		2.37		766
Kepler-431 b		12.85		0		0.0		6.80		0.00		1.87		1342
HAT-P-34 b		10.57		0		0.0		5.45		3.33		4.10		1553
CoRoT-13 b		15.78		0		0.0		4.04		1.31		3.77		1516
Kepler-14 b		12.24		0		0.0		6.79		8.41		5.13		1848
CoRoT-29 b		16.70		0		0.0		2.85		0.85		3.30		1450
HAT-P-13 b		11.35		0		0.0		2.92		0.86		2.61		1960
Kepler-42 b		17.96		0		0.0		1.21		0.00		1.87		683
Kepler-117 c		14.93		0		0.0		50.79		0.92		3.16		828
Kepler-1517 b		12.71		0		0.0		5.55		0.70		3.17		2101
HAT-P-46 b		12.90		0		0.0		4.46		0.49		2.05		1727
KELT-3 b		10.30		0		0.0		2.70		1.46		3.02		2167
CoRoT-28 b		14.99		0		0.0		5.21		0.48		2.62		1622
Kepler-21 b		8.77		0		0.0		2.79		0.01		2.69		2320
Kepler-37 c		10.45		0		0.0		21.30		0.01		4.16		729
WASP-49 b		11.93		0		0.0		2.78		0.38		2.07		1630
Kepler-381 b		11.08		0		0.0		5.63		0.00		2.24		1776
Kepler-154 d		15.11		0		0.0		20.55		0.05		2.33		868
Kepler-1115 b		11.90		0		0.0		23.55		0.01		2.65		1475
CoRoT-27 b		16.50		0		0.0		3.58		10.39		5.58		1628
HATS-4 b		14.26		0		0.0		2.16		1.32		3.50		1648
Kepler-154 e		15.11		0		0.0		3.93		0.01		2.84		1507
WASP-20 b		11.17		0		0.0		4.90		0.31		1.33		1644
Kepler-426 b		15.74		0		0.0		3.22		1.00		3.08		1549
Kepler-433 b		15.08		0		0.0		5.33		2.82		3.55		2099
HD 97658 b		8.54		0		0.0		9.49		0.02		2.69		872
TrES-4 b		12.11		0		0.0		3.55		0.93		2.02		2124
HAT-P-16 b		11.28		0		0.0		2.78		4.20		4.18		1932
WASP-63 b		11.74		0		0.0		4.38		0.38		1.57		1821
Kepler-106 b		13.68		0		0.0		6.16		0.00		1.94		1336
Kepler-96 b		11.25		0		0.0		16.24		0.03		2.48		930
XO-2 b		12.00		0		0.0		2.62		0.57		2.72		1573
Kepler-136 b		12.51		0		0.0		11.58		0.02		2.47		1301
Kepler-36 c		12.66		0		0.0		16.24		0.03		1.82		1206
Kepler-109 b		12.82		0		0.0		6.48		0.02		2.36		1494
Kepler-33 f		14.39		0		0.0		41.03		0.07		2.37		907
CoRoT-14 b		16.89		1		0.0		1.51		7.69		5.12		2321
Kepler-33 c		14.39		0		0.0		13.18		0.03		2.28		1325
WASP-11 b		12.89		0		0.0		3.72		0.54		2.83		1134
Kepler-25 b		11.32		0		0.0		6.24		0.02		2.29		1553
WASP-62 b		10.73		0		0.0		4.41		0.56		2.02		1698
Kepler-338 c		12.88		0		0.0		24.31		0.02		2.37		1104
CoRoT-10 b		16.68		0		0.0		13.24		2.76		4.33		797
TrES-1 b		12.54		0		0.0		3.03		0.75		2.84		1360
HAT-P-5 b		12.97		0		0.0		2.79		1.06		2.86		1829
WASP-99 b		10.10		0		0.0		5.75		2.78		4.09		1748
WASP-83 b		12.79		0		0.0		4.97		0.30		1.97		1326
WASP-6 b		12.90		0		0.0		3.36		0.52		2.20		1408
Kepler-444 c		9.67		0		0.0		4.55		0.00		1.24		1134
WASP-69 b		10.93		0		0.0		3.87		0.26		1.80		1143
WASP-38 b		9.95		0		0.0		6.87		2.71		4.08		1495
HAT-P-7 b		10.90		3		0.0		2.20		1.79		3.22		2647
HAT-P-49 b		10.62		2		0.0		2.69		1.73		3.11		2531
Qatar-2 b		14.00		0		0.0		1.34		2.48		3.90		1534
HD 149026 b		8.77		0		0.0		2.88		0.36		3.09		1990
Kepler-278 c		12.79		0		0.0		51.08		0.04		2.30		945
Kepler-104 c		13.12		0		0.0		23.67		0.03		2.27		947
HAT-P-45 b		13.70		0		0.0		3.13		0.89		2.43		1961
HAT-P-25 b		14.12		0		0.0		3.65		0.57		2.34		1431
Kepler-135 c		12.82		0		0.0		11.45		0.00		2.48		1251
GJ 1214 b		16.83		0		0.0		1.58		0.02		2.22		666
CoRoT-18 b		15.79		0		0.0		1.90		3.49		3.96		1815
Kepler-132 d		12.49		0		0.0		18.01		0.01		2.76		1019
HAT-P-38 b		13.14		0		0.0		4.64		0.27		2.32		1284
Kepler-126 d		10.93		0		0.0		100.28		0.02		2.33		642
CoRoT-3 b		14.20		0		0.0		4.26		21.85		6.32		2016
WASP-43 b		13.40		0		0.0		0.81		1.78		3.98		1636
WASP-13 b		11.31		0		0.0		4.35		0.47		1.83		1848
KELT-6 b		10.83		0		0.0		7.85		0.43		2.06		1561
Kepler-50 c		11.02		0		0.0		9.38		0.02		2.29		1560
HAT-P-40 b		12.19		0		0.0		4.46		0.62		1.68		2100
WASP-37 b		13.30		0		0.0		3.58		1.79		3.54		1577
GJ 436 b		12.20		0		0.0		2.64		0.07		2.59		772
CoRoT-11 b		13.73		0		0.0		2.99		2.35		3.39		2060
Kepler-454 b		12.38		0		0.0		10.57		0.02		2.54		1095
Kepler-248 b		16.21		0		0.0		6.31		0.03		2.27		1050
Kepler-20 e		13.41		0		0.0		6.10		0.00		2.03		1210
HAT-P-26 b		12.63		0		0.0		4.23		0.06		1.56		1182
WASP-95 b		10.79		0		0.0		2.18		1.13		3.00		1924
HATS-13 b		14.68		0		0.0		3.04		0.54		2.26		1481
Kepler-444 b		9.67		0		0.0		3.60		0.00		0.95		1226
TrES-3 b		13.11		0		0.0		1.31		1.91		3.32		1937
K2-3 c		13.52		0		0.0		24.65		0.01		2.61		448
Kepler-126 c		10.93		0		0.0		21.87		0.01		2.73		1066
WASP-78 b		12.65		9		0.0		2.18		0.88		2.07		2730
Kepler-68 b		10.73		0		0.0		5.40		0.03		2.77		1490
HD 80606 b		9.83		0		0.0		111.44		3.89		4.56		473
HATS-1 b		12.74		0		0.0		3.45		1.87		3.35		1627
CoRoT-7 b		12.52		0		0.0		0.85		0.01		2.86		2152
WASP-28 b		12.50		0		0.0		3.41		0.91		2.77		1746
HAT-P-22 b		10.59		0		0.0		3.21		2.15		3.87		1524
WASP-34 b		11.05		0		0.0		4.32		0.58		2.32		1382
WASP-2 b		12.90		0		0.0		2.15		0.91		3.01		1546
WASP-22 b		12.39		0		0.0		3.53		0.56		2.45		1690
HAT-P-1 b		10.93		0		0.0		4.47		0.53		2.19		1552
Kepler-197 c		12.42		0		0.0		10.35		0.01		2.57		1195
WASP-84 b		11.64		0		0.0		8.52		0.69		3.01		947
WASP-46 b		13.00		0		0.0		1.43		2.10		3.46		1972
HAT-P-33 b		11.66		0		0.0		3.47		0.76		1.94		2117
Kepler-17 b		14.60		0		0.0		1.49		2.48		3.59		2076
Kepler-1171 b		11.85		0		0.0		1.44		0.02		2.32		3307
Kepler-428 b		16.58		0		0.0		3.53		1.27		3.34		1270
WASP-45 b		13.33		0		0.0		3.13		1.01		2.97		1423
HAT-P-21 b		12.79		0		0.0		4.12		4.08		4.61		1514
HAT-P-4 b		11.90		0		0.0		3.06		0.67		2.37		2015
CoRoT-19 b		14.57		0		0.0		3.90		1.11		2.85		1974
Kepler-144 c		12.69		0		0.0		10.10		0.01		2.70		1280
HAT-P-11 b		10.60		0		0.0		4.89		0.08		2.49		1036
Kepler-79 d		14.55		0		0.0		52.09		0.02		0.14		805
HAT-P-29 b		12.30		0		0.0		5.72		0.78		2.80		1496
WASP-24 b		12.09		0		0.0		2.34		1.09		2.82		2104
WASP-97 b		11.34		0		0.0		2.07		1.32		3.29		1832
Kepler-20 f		13.41		0		0.0		19.58		0.00		2.30		820
KELT-7 b		8.97		1		0.0		2.73		1.28		2.65		2439
HAT-P-24 b		12.21		0		0.0		3.36		0.69		2.45		1945
HAT-P-2 b		9.12		0		0.0		5.63		8.87		5.15		1699
Kepler-42 c		17.96		0		0.0		0.45		0.00		1.77		949
HAT-P-41 b		11.65		1		0.0		2.69		0.80		1.99		2304
Kepler-109 c		12.82		0		0.0		21.22		0.02		2.32		1006
WASP-79 b		10.45		0		0.0		3.66		0.89		2.08		2096
Kepler-37 d		10.45		0		0.0		39.79		0.01		1.55		592
Kepler-129 b		12.67		0		0.0		15.79		0.02		2.36		1208
Kepler-338 b		12.88		0		0.0		13.73		0.02		2.34		1336
Kepler-103 b		12.68		0		0.0		15.97		0.03		2.17		1126
WASP-16 b		12.52		0		0.0		3.12		0.84		3.07		1556
K2-3 b		13.52		0		0.0		10.05		0.02		2.41		603
CoRoT-9 b		14.55		0		0.0		95.27		0.84		2.99		490
Kepler-106 c		13.68		0		0.0		13.57		0.03		2.84		1027
Kepler-103 c		12.68		0		0.0		179.61		0.09		2.38		502
XO-3 b		10.31		0		0.0		3.19		13.28		5.45		2434
HAT-P-32 b		11.79		1		0.0		2.15		0.86		1.94		2124
WASP-106 b		12.04		0		0.0		9.29		1.93		3.75		1373
HAT-P-37 b		13.10		0		0.0		2.80		1.17		3.09		1517
WASP-57 b		13.60		0		0.0		2.84		0.68		3.04		1494
WASP-70 A b		11.75		0		0.0		3.71		0.59		2.42		1636
WASP-75 b		12.05		0		0.0		2.48		1.07		2.85		2028
WASP-117 b		10.74		0		0.0		10.02		0.28		1.92		1218
K2-21 b		14.14		0		0.0		9.32		0.01		2.73		657
HAT-P-17 b		11.37		0		0.0		10.34		0.53		2.60		927
WASP-17 b		11.84		0		0.0		3.74		0.51		1.26		1842
KELT-2 A b		9.23		0		0.0		4.11		1.52		3.17		2034
Kepler-79 b		14.68		0		0.0		13.48		0.03		2.19		1100
Kepler-127 c		12.07		0		0.0		29.39		0.02		2.30		946
CoRoT-6 b		14.64		0		0.0		8.89		2.95		4.03		1210
Kepler-435 b		14.00		0		0.0		8.60		0.84		1.71		2032
Kepler-516 b		12.94		0		0.0		24.85		0.11		2.39		1308
WASP-19 b		13.58		14		0.0		0.79		1.13		2.73		2457
Kepler-104 d		13.12		0		0.0		51.76		0.04		2.30		730
Kepler-197 e		12.42		0		0.0		25.21		0.00		2.10		888
WASP-25 b		12.28		0		0.0		3.76		0.58		2.31		1453
WASP-21 b		12.12		0		0.0		4.32		0.30		1.92		1500
HAT-P-27 b		13.19		0		0.0		3.04		0.62		2.73		1389
Kepler-20 b		13.41		0		0.0		3.70		0.03		3.17		1430
Kepler-50 b		11.02		0		0.0		7.81		0.02		2.41		1658
WASP-14 b		10.21		0		0.0		2.24		7.69		4.80		2217
Kepler-427 b		15.13		0		0.0		10.29		0.29		1.60		1279
WASP-121 b		21.52		25		0.0		1.27		1.18		2.18		2805
GJ 1132 b		15.22		0		0.0		1.63		0.01		2.52		688
