Name		Vmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-06		10.54		171		0.9		3.85		1.06		2.65		2027
HAT-P-04		11.00		217		0.9		3.06		0.68		2.29		2072
XO-2		11.25		218		0.8		2.62		0.60		2.70		1607
WASP-140		11.13		195		0.8		2.24		2.44		3.42		1578
WASP-081		12.29		360		0.8		2.72		0.73		2.23		1936
WASP-016		11.31		232		0.8		3.12		0.83		2.68		1653
WASP-011		11.89		298		0.8		3.72		0.49		2.57		1181
WASP-004		12.46		373		0.8		1.34		1.25		2.86		1991
TrES-1		11.79		272		0.8		3.03		0.76		2.79		1365
KELT-02		8.70		65		0.8		4.11		1.52		3.17		2038
HD_097658		7.71		42		0.8		9.49		0.02		2.73		902
HATS-19		13.03		493		0.8		4.57		0.43		1.39		1843
HATS-05		12.63		393		0.8		4.76		0.24		2.00		1220
HAT-P-46		11.94		291		0.8		4.46		0.49		2.05		1727
HAT-P-39		12.42		385		0.8		3.54		0.60		1.84		2055
GJ_0436		10.68		170		0.8		2.64		0.08		2.74		753
EPIC_229426032		11.60		269		0.8		2.18		1.36		2.59		2262
WASP-151		12.87		397		0.7		4.53		0.36		1.89		1560
WASP-142		12.30		289		0.7		2.05		0.84		2.23		2390
WASP-124		12.70		386		0.7		3.37		0.60		2.31		1654
WASP-103		12.39		344		0.7		0.93		1.47		2.64		2961
WASP-097		10.58		137		0.7		2.07		1.32		3.29		1842
WASP-084		10.83		167		0.7		8.52		0.69		2.93		953
WASP-058		11.66		245		0.7		5.02		0.89		2.51		1519
WASP-048		11.66		231		0.7		2.14		0.91		2.49		2328
WASP-041		11.64		241		0.7		3.05		0.98		2.90		1479
WASP-024		11.23		185		0.7		2.34		1.11		2.83		2108
WASP-022		11.71		242		0.7		3.53		0.62		2.41		1788
WASP-003		10.64		148		0.7		1.85		1.77		3.23		2372
TrES-2		11.41		202		0.7		2.47		1.21		3.09		1744
MASCARA-1		8.27		47		0.7		2.15		3.70		3.75		3028
