Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-775 b		11.82		50		0.2		0.97		0.01		2.52		2101
Kepler-719 b		14.21		119		0.2		5.01		0.40		2.89		1373
Kepler-660 b		13.12		73		0.2		9.27		0.02		2.32		824
Kepler-779 b		12.87		61		0.2		7.10		0.00		2.12		613
Kepler-229 c		13.87		108		0.2		16.07		0.08		2.38		710
Kepler-650 b		12.24		56		0.2		3.03		0.03		2.28		1901
Kepler-32 c		12.90		63		0.2		8.75		0.01		2.49		609
Kepler-1526 b		13.29		91		0.2		3.91		0.02		2.34		1048
Kepler-955 b		12.85		67		0.2		14.53		0.03		2.27		840
Kepler-107 e		11.11		36		0.2		14.75		0.04		2.29		1162
Kepler-388 b		12.66		58		0.2		3.17		0.00		1.92		961
Kepler-470 b		12.04		67		0.2		24.67		1.00		2.75		1135
Kepler-1542 b		11.03		31		0.2		3.95		0.00		1.83		1451
Kepler-192 b		12.51		50		0.2		9.93		0.02		2.29		1049
Kepler-740 b		14.25		137		0.2		3.58		0.07		2.38		1380
Kepler-693 b		14.36		156		0.2		15.38		0.50		2.76		715
Kepler-482 b		11.66		35		0.2		56.35		0.02		2.36		464
Kepler-127 d		10.30		20		0.2		48.63		0.02		2.30		800
Kepler-156 c		12.26		50		0.2		15.91		0.02		2.32		746
Kepler-81 c		12.58		75		0.2		12.04		0.02		2.36		666
Kepler-653 c		11.87		39		0.2		0.90		0.00		1.88		2615
Kepler-691 b		12.72		75		0.2		8.11		0.02		2.45		596
Kepler-141 b		11.48		44		0.2		3.11		0.00		1.68		1224
Kepler-345 b		11.66		42		0.2		7.42		0.00		1.79		747
Kepler-297 c		12.79		80		0.2		74.92		0.12		2.19		523
Kepler-502 b		13.63		87		0.2		4.29		0.08		2.38		1668
Kepler-207 d		11.84		40		0.2		5.87		0.03		2.28		1696
Kepler-101 b		12.11		66		0.2		3.49		0.12		2.39		1944
Kepler-111 c		12.11		42		0.2		224.78		0.16		2.28		432
Kepler-762 b		13.96		152		0.2		3.77		1.00		3.01		1611
Kepler-510 b		10.49		22		0.2		19.56		0.02		2.33		1055
Kepler-121 b		12.89		98		0.2		3.18		0.02		2.37		1240
Kepler-675 b		13.30		101		0.2		2.34		0.02		2.34		1376
Kepler-161 b		12.33		55		0.2		4.92		0.02		2.44		1099
Kepler-1566 b		12.48		79		0.2		0.54		0.00		1.88		2451
Kepler-522 b		11.09		34		0.2		38.58		0.14		2.23		1016
Kepler-257 c		13.45		94		0.2		6.58		0.10		2.39		1154
Kepler-1105 b		12.51		60		0.2		4.42		0.01		2.48		938
Kepler-780 b		11.89		52		0.2		0.68		0.00		2.06		2715
Kepler-303 c		11.76		43		0.2		7.06		0.00		2.45		587
Kepler-49 d		12.49		56		0.2		2.58		0.01		2.72		951
Kepler-148 c		13.53		108		0.2		4.18		0.04		2.30		1238
Kepler-743 b		10.84		33		0.2		3.18		0.01		2.54		1425
Kepler-152 b		12.49		64		0.2		18.21		0.02		2.29		675
Kepler-517 b		10.67		29		0.2		60.93		0.02		2.30		592
Kepler-197 b		10.58		21		0.2		5.60		0.00		2.28		1467
Kepler-1075 b		12.55		61		0.2		1.52		0.01		2.77		1142
Kepler-369 b		12.59		56		0.2		2.73		0.00		2.44		723
Kepler-134 b		10.98		32		0.2		5.32		0.01		2.49		1524
Kepler-505 b		12.24		69		0.2		27.52		0.02		2.31		429
Kepler-499 b		12.51		56		0.2		5.63		0.02		2.42		1141
Kepler-1089 b		12.63		71		0.2		5.13		0.01		2.58		696
Kepler-565 b		13.52		100		0.2		4.24		0.04		2.31		1420
Kepler-1525 b		11.28		32		0.2		2.42		0.00		2.10		1771
Kepler-79 e		12.65		67		0.2		81.07		0.01		1.20		694
Kepler-20 d		10.91		27		0.2		77.61		0.02		2.32		518
Kepler-989 b		12.52		55		0.2		7.96		0.02		2.41		951
Kepler-322 b		11.87		41		0.2		1.65		0.00		2.27		1762
Kepler-1514 b		10.73		27		0.2		217.83		1.00		3.15		456
Kepler-465 b		11.52		42		0.2		9.94		0.03		2.28		1320
Kepler-571 b		13.05		74		0.2		4.80		0.02		2.30		1290
Kepler-1367 b		12.86		65		0.2		1.57		0.00		2.12		1214
Kepler-11 f		12.24		68		0.2		46.69		0.01		1.34		670
Kepler-535 b		11.91		39		0.2		4.90		0.02		2.36		1620
Kepler-221 d		11.99		65		0.2		10.04		0.02		2.29		903
Kepler-951 b		12.38		72		0.2		71.53		0.10		2.39		426
Kepler-398 c		10.93		31		0.2		11.42		0.00		2.27		640
Kepler-1371 b		12.12		43		0.2		3.45		0.00		1.76		1357
Kepler-1065 b		13.80		110		0.2		3.61		0.04		2.32		1468
Kepler-563 b		12.83		64		0.2		22.18		0.03		2.27		673
Kepler-1099 b		13.73		94		0.2		2.17		0.02		2.28		1846
Kepler-487 b		13.33		89		0.2		15.36		1.00		3.22		856
Kepler-729 b		14.03		116		0.2		3.17		0.04		2.30		1516
Kepler-153 b		12.48		52		0.2		18.87		0.03		2.28		786
Kepler-319 c		12.31		64		0.2		6.94		0.02		2.31		1129
Kepler-125 c		11.87		52		0.2		5.77		0.00		1.79		623
Kepler-95 b		10.87		32		0.2		11.52		0.04		2.43		1213
Kepler-160 c		13.10		77		0.2		13.70		0.04		2.30		944
Kepler-737 b		12.29		48		0.2		28.60		0.01		2.51		396
Kepler-156 b		12.26		63		0.2		4.97		0.02		2.38		1099
Kepler-697 b		13.93		122		0.2		3.71		0.06		2.37		1389
Kepler-479 b		11.78		42		0.2		12.49		0.02		2.44		856
Kepler-27 b		14.03		141		0.2		15.33		0.05		2.35		735
Kepler-1371 c		12.12		55		0.2		2.01		0.00		1.57		1625
Kepler-492 b		12.71		86		0.2		11.72		0.64		3.13		962
Kepler-112 b		12.23		57		0.2		8.41		0.02		2.36		1025
Kepler-199 b		12.10		48		0.2		23.64		0.03		2.27		793
Kepler-880 b		11.06		27		0.2		7.71		0.02		2.30		1737
Kepler-608 b		13.18		81		0.2		6.41		0.04		2.31		1291
Kepler-949 b		12.63		72		0.2		8.69		0.03		2.28		1019
Kepler-572 b		12.65		54		0.2		17.21		0.02		2.31		759
Kepler-590 b		12.98		73		0.2		5.85		0.05		2.36		1441
Kepler-473 b		11.79		42		0.2		14.56		0.05		2.37		1120
Kepler-1350 c		13.34		81		0.2		1.77		0.01		2.64		1044
Kepler-431 c		10.67		23		0.2		8.70		0.00		1.67		1236
Kepler-20 c		10.91		35		0.2		10.85		0.05		2.84		999
Kepler-1067 b		12.78		59		0.2		0.76		0.00		1.90		2441
Kepler-321 c		11.30		29		0.2		13.09		0.02		2.37		1091
Kepler-901 b		12.10		45		0.2		3.52		0.01		2.71		930
Kepler-431 b		10.67		24		0.2		6.80		0.00		1.87		1342
Kepler-1139 b		12.35		48		0.2		0.81		0.01		2.52		2350
Kepler-114 b		11.47		33		0.2		5.19		0.01		2.60		891
Kepler-235 b		13.28		101		0.2		3.34		0.02		2.40		869
Kepler-968 c		11.97		39		0.2		5.71		0.01		2.66		924
Kepler-124 b		12.31		59		0.2		3.41		0.00		1.77		1083
Kepler-1613 b		12.73		56		0.2		1.52		0.02		2.45		2238
Kepler-742 b		12.96		96		0.2		8.36		0.03		2.28		827
Kepler-108 b		11.06		26		0.2		49.18		0.27		2.46		970
Kepler-244 b		13.85		96		0.2		4.31		0.02		2.29		1254
Kepler-968 b		11.97		63		0.2		3.69		0.01		2.49		1068
Kepler-296 c		12.81		78		0.2		5.84		0.02		2.43		722
Kepler-1558 b		11.74		46		0.2		3.50		0.00		1.67		1262
Kepler-760 b		13.30		76		0.2		8.70		0.03		2.27		997
Kepler-378 b		10.32		29		0.2		16.09		0.00		1.81		620
Kepler-1011 b		13.43		79		0.2		5.75		0.02		2.28		1181
Kepler-1517 b		11.35		40		0.2		5.55		0.70		3.17		2101
Kepler-1173 b		11.98		64		0.2		0.77		0.00		2.06		2182
Kepler-1039 b		11.86		52		0.2		0.93		0.01		2.80		1827
Kepler-381 b		9.55		13		0.2		5.63		0.00		2.24		1776
Kepler-969 c		11.98		46		0.2		1.68		0.00		2.23		1650
Kepler-1141 b		11.04		33		0.2		2.34		0.00		1.94		1846
Kepler-476 b		12.36		48		0.2		14.01		0.03		2.27		1031
Kepler-509 b		10.56		22		0.2		41.75		0.02		2.33		772
Kepler-57 b		13.02		67		0.2		5.73		0.02		2.41		1039
Kepler-658 b		12.73		69		0.2		1.29		0.01		2.70		1294
Kepler-261 b		11.67		46		0.2		10.38		0.02		2.42		854
Kepler-530 b		11.94		45		0.2		39.31		0.03		2.27		651
Kepler-678 b		13.40		114		0.2		7.28		0.09		2.38		1126
Kepler-466 b		11.40		31		0.2		51.08		0.02		2.28		667
Kepler-258 b		13.09		66		0.2		13.20		0.05		2.36		820
Kepler-151 b		13.00		66		0.2		15.23		0.03		2.27		823
Kepler-1124 b		13.05		104		0.2		2.85		0.01		2.62		735
Kepler-267 c		12.68		73		0.2		6.88		0.02		2.43		684
Kepler-461 b		11.97		59		0.2		8.31		0.02		2.31		1091
Kepler-464 b		11.36		36		0.2		7.26		0.03		2.28		1535
Kepler-11 d		12.24		53		0.2		22.68		0.02		2.04		852
Kepler-136 b		10.57		21		0.2		11.58		0.02		2.47		1301
Kepler-247 d		13.18		75		0.2		20.48		0.05		2.35		670
Kepler-170 b		12.77		64		0.2		7.93		0.03		2.28		1188
Kepler-109 b		11.05		34		0.2		6.48		0.02		2.36		1494
Kepler-988 b		12.45		56		0.2		17.76		0.02		2.46		506
Kepler-1037 b		12.33		50		0.2		1.06		0.01		2.62		1872
Kepler-736 b		14.02		104		0.2		3.60		0.03		2.28		1288
Kepler-80 d		12.35		57		0.2		3.07		0.01		2.63		1038
Kepler-1542 e		11.03		29		0.2		5.10		0.00		1.83		1332
Kepler-724 b		13.44		113		0.2		3.31		0.03		2.28		1411
Kepler-1582 b		12.69		91		0.2		4.84		0.01		2.83		527
Kepler-1393 b		11.88		41		0.2		2.44		0.00		1.90		1678
Kepler-120 b		12.42		78		0.2		6.31		0.02		2.43		664
Kepler-32 d		12.90		75		0.2		22.78		0.02		2.30		443
Kepler-818 b		13.48		102		0.2		10.04		0.09		2.38		1039
Kepler-352 b		11.18		29		0.2		10.06		0.00		2.02		875
Kepler-817 b		14.03		115		0.2		3.99		0.50		3.00		1530
Kepler-150 c		13.42		83		0.2		7.38		0.04		2.31		1134
Kepler-623 b		13.32		74		0.2		9.07		0.03		2.27		1010
Kepler-166 b		12.94		65		0.2		7.65		0.02		2.39		970
Kepler-561 c		12.69		69		0.2		5.35		0.02		2.30		1292
Kepler-104 c		11.25		29		0.2		23.67		0.03		2.27		947
Kepler-1107 b		12.24		57		0.2		0.57		0.01		2.69		2417
Kepler-561 b		12.69		86		0.2		58.36		0.14		2.24		583
Kepler-677 b		13.79		111		0.2		6.58		0.10		2.38		1246
Kepler-612 b		13.31		82		0.2		3.72		0.02		2.28		1481
Kepler-703 b		13.64		89		0.2		4.58		0.35		2.83		1674
CoRoT-18 b		13.08		89		0.2		1.90		3.49		3.96		1815
PH-2 b		11.18		40		0.2		282.53		0.49		2.74		355
Kepler-139 b		11.22		32		0.2		15.77		0.03		2.28		1043
Kepler-126 d		9.41		15		0.2		100.28		0.02		2.33		642
Kepler-910 b		10.38		20		0.2		2.36		0.00		1.94		2259
Kepler-648 b		12.52		54		0.2		17.42		0.03		2.28		892
Kepler-83 b		13.08		102		0.2		9.77		0.02		2.28		746
Kepler-1130 b		10.73		37		0.2		5.45		0.00		1.90		1153
Kepler-159 c		12.53		61		0.2		43.60		0.04		2.29		439
Kepler-971 b		11.50		45		0.2		9.59		0.02		2.43		987
Kepler-222 c		13.34		97		0.2		10.09		0.07		2.38		961
Kepler-498 b		12.79		65		0.2		9.61		0.03		2.27		1089
Kepler-1338 b		12.19		44		0.2		0.94		0.00		2.12		2522
Kepler-314 b		10.85		36		0.2		2.46		0.00		1.96		1592
Kepler-1515 b		10.94		31		0.2		214.31		0.38		2.62		507
Kepler-494 b		12.54		77		0.2		8.03		0.22		2.64		1359
Kepler-477 b		11.83		44		0.2		11.12		0.02		2.46		876
Kepler-578 b		12.65		73		0.2		1.62		0.01		2.49		1737
Kepler-142 c		11.80		51		0.2		4.76		0.02		2.28		1590
Kepler-248 b		13.44		83		0.2		6.31		0.03		2.27		1050
Kepler-688 b		13.97		115		0.2		3.90		0.70		3.17		1464
Kepler-20 e		10.91		27		0.2		6.10		0.00		2.03		1210
Kepler-501 b		13.27		90		0.2		5.64		0.06		2.37		1380
Kepler-203 b		12.47		62		0.2		3.16		0.02		2.31		1716
Kepler-304 d		12.75		78		0.2		9.65		0.02		2.29		755
Kepler-716 b		13.25		75		0.2		10.37		0.03		2.28		873
Kepler-205 c		10.96		31		0.2		20.31		0.01		2.69		480
Kepler-942 b		10.94		29		0.2		44.96		0.02		2.43		503
Kepler-158 b		12.14		49		0.2		16.71		0.02		2.44		586
Kepler-378 c		10.32		25		0.2		28.91		0.00		1.70		510
Kepler-1559 b		12.73		67		0.2		0.97		0.00		1.74		2043
Kepler-221 b		11.99		44		0.2		2.80		0.01		2.65		1383
Kepler-490 b		13.50		119		0.2		3.27		1.00		3.18		1745
Kepler-1076 b		10.79		37		0.2		6.15		0.00		1.90		975
Kepler-247 c		13.18		99		0.2		9.44		0.05		2.37		867
Kepler-503 b		13.14		110		0.2		7.26		0.15		2.49		1222
Kepler-224 c		13.72		116		0.2		5.93		0.03		2.27		935
Kepler-484 b		11.57		49		0.2		10.05		0.02		2.38		1011
Kepler-54 b		12.90		77		0.2		8.01		0.02		2.45		601
OGLE2-TR-L9 b		13.25		72		0.2		2.49		4.57		3.82		2420
Kepler-661 b		13.37		109		0.2		6.03		0.03		2.27		877
Kepler-562 b		13.21		88		0.2		18.01		0.09		2.38		837
Kepler-1629 b		11.30		31		0.2		3.88		0.00		1.85		1513
Kepler-725 b		13.28		89		0.2		39.64		0.62		2.89		604
Kepler-1009 b		12.52		63		0.2		11.35		0.02		2.42		606
HAT-P-21 b		10.15		24		0.2		4.12		4.08		4.61		1514
Kepler-142 b		11.80		38		0.2		2.02		0.01		2.49		2114
Kepler-122 c		12.89		75		0.2		12.47		0.12		2.39		1180
Kepler-115 c		12.03		40		0.2		8.99		0.02		2.31		1294
Kepler-171 b		13.23		72		0.2		4.17		0.02		2.37		1317
Kepler-570 b		12.72		68		0.2		4.30		0.02		2.34		1330
Kepler-1321 b		14.22		174		0.2		11.13		0.08		2.38		607
Kepler-27 c		14.03		133		0.2		31.33		0.08		2.38		580
Kepler-11 b		12.24		51		0.2		10.30		0.01		1.80		1108
Kepler-808 b		12.01		61		0.2		0.63		0.01		2.80		1961
Kepler-198 b		12.07		48		0.2		17.79		0.02		2.28		849
Kepler-1321 c		14.22		149		0.2		2.23		0.02		2.35		1037
Kepler-601 b		12.15		47		0.2		5.38		0.01		2.53		1103
Kepler-52 b		12.51		79		0.2		7.88		0.02		2.45		671
Kepler-48 b		11.29		47		0.2		4.78		0.01		2.39		1218
Kepler-552 b		12.88		86		0.2		5.26		0.05		2.35		1402
Kepler-1258 b		12.39		49		0.2		0.98		0.00		2.02		2398
Kepler-191 d		12.96		64		0.2		5.95		0.02		2.38		1092
Kepler-1579 b		12.86		72		0.2		0.85		0.00		1.98		1742
Kepler-970 b		12.36		69		0.2		16.74		0.02		2.29		628
Kepler-1542 c		11.03		38		0.2		2.89		0.00		1.60		1610
Kepler-856 b		13.92		98		0.2		8.03		0.56		3.06		1100
Kepler-1331 b		12.42		66		0.2		0.79		0.00		2.33		1755
Kepler-993 b		12.89		83		0.2		22.09		0.03		2.28		453
Kepler-103 b		10.94		36		0.2		15.97		0.03		2.17		1126
Kepler-316 b		12.68		63		0.2		2.24		0.00		2.34		950
Kepler-1022 b		12.91		61		0.2		10.99		0.02		2.36		716
CoRoT-9 b		11.81		58		0.2		95.27		0.84		2.99		490
Kepler-595 b		12.94		65		0.2		25.30		0.05		2.33		683
Kepler-478 b		12.11		62		0.2		13.22		0.02		2.29		830
Kepler-118 c		12.77		92		0.2		20.17		0.18		2.32		831
Kepler-249 b		12.15		52		0.2		3.31		0.00		2.39		682
Kepler-1222 b		12.26		52		0.2		1.92		0.00		1.88		1592
Kepler-458 c		12.55		60		0.2		20.74		0.06		2.37		922
Kepler-1350 b		13.34		119		0.2		4.50		0.02		2.32		765
Kepler-511 b		11.22		34		0.2		296.64		0.11		2.17		389
Kepler-327 c		12.11		47		0.2		5.21		0.00		2.30		630
Kepler-222 b		13.34		100		0.2		3.94		0.03		2.27		1315
Kepler-1542 d		11.03		25		0.2		5.99		0.00		2.04		1263
Kepler-202 b		11.73		42		0.2		4.07		0.01		2.70		979
Kepler-79 b		12.65		64		0.2		13.48		0.03		2.19		1100
Kepler-127 c		10.30		24		0.2		29.39		0.02		2.30		946
CoRoT-6 b		12.23		47		0.2		8.89		2.95		4.03		1210
Kepler-687 b		13.25		76		0.2		20.51		0.04		2.30		647
Kepler-516 b		11.05		29		0.2		24.85		0.11		2.39		1308
Kepler-519 b		10.79		34		0.2		24.31		0.02		2.45		679
Kepler-83 d		13.08		66		0.2		5.17		0.01		2.52		849
Kepler-221 e		11.99		50		0.2		18.37		0.02		2.31		738
Kepler-159 b		12.53		64		0.2		10.14		0.02		2.35		713
Kepler-702 b		13.53		101		0.2		10.53		0.53		3.03		957
Kepler-318 c		11.83		51		0.2		11.82		0.04		2.31		1128
Kepler-706 b		13.41		105		0.2		41.41		1.00		2.93		600
Kepler-674 b		12.52		69		0.2		2.24		0.01		2.66		1079
Kepler-174 b		12.29		47		0.2		13.98		0.01		2.51		655
Kepler-80 f		12.35		65		0.2		0.99		0.01		2.57		1605
Kepler-186 c		11.82		46		0.2		7.27		0.01		2.59		623
Kepler-480 b		12.11		47		0.2		4.92		0.02		2.29		1700
Kepler-50 b		9.25		16		0.2		7.81		0.02		2.41		1658
Kepler-1098 b		13.10		28		0.1		2.54		0.01		2.65		1735
Kepler-1529 b		13.30		58		0.1		5.34		0.02		2.45		1076
Kepler-251 e		13.60		28		0.1		99.64		0.02		2.29		461
Kepler-247 b		13.18		40		0.1		3.34		0.01		2.69		1226
Kepler-1421 b		11.60		15		0.1		6.91		0.00		2.14		1565
Kepler-1175 b		14.28		46		0.1		37.95		0.03		2.28		628
Kepler-336 b		12.19		23		0.1		2.02		0.00		2.28		2171
Kepler-383 b		12.81		24		0.1		12.90		0.01		2.67		675
Kepler-1085 b		13.91		43		0.1		219.32		0.15		2.27		428
Kepler-255 d		13.85		40		0.1		1.05		0.01		2.67		2182
Kepler-55 e		13.36		39		0.1		4.62		0.01		2.76		872
Kepler-618 b		13.42		63		0.1		3.60		0.02		2.31		1617
Kepler-391 b		11.07		8		0.1		7.42		0.03		2.28		1962
Kepler-54 c		12.90		35		0.1		12.07		0.01		2.56		524
Kepler-218 b		12.39		20		0.1		3.62		0.01		2.82		1515
Kepler-1250 b		14.14		47		0.1		2.61		0.01		2.53		1689
Kepler-1546 b		13.62		54		0.1		19.60		0.03		2.27		832
Kepler-1304 b		13.16		45		0.1		16.13		0.02		2.38		789
Kepler-222 d		13.34		58		0.1		28.08		0.04		2.31		683
Kepler-1576 b		11.89		20		0.1		6.98		0.00		2.32		1287
OGLE-TR-182 b		14.90		132		0.1		3.98		1.02		3.04		1601
Kepler-619 b		13.26		67		0.1		5.40		0.03		2.27		1451
Kepler-1254 c		13.29		34		0.1		3.60		0.01		2.65		1204
Kepler-1405 b		14.21		47		0.1		28.23		0.05		2.35		819
Kepler-1435 b		11.79		20		0.1		4.45		0.00		2.02		1763
Kepler-245 c		13.69		39		0.1		17.46		0.02		2.42		719
Kepler-483 b		12.25		26		0.1		30.23		0.03		2.28		972
Kepler-297 b		12.79		40		0.1		38.87		0.02		2.28		651
Kepler-712 b		13.98		70		0.1		21.02		0.04		2.29		695
Kepler-243 b		13.19		64		0.1		5.72		0.02		2.34		1100
Kepler-106 e		11.49		28		0.1		43.84		0.02		2.32		695
Kepler-130 d		10.53		8		0.1		87.52		0.01		2.69		577
Kepler-82 d		13.53		41		0.1		2.38		0.01		2.61		1620
Kepler-603 c		13.28		60		0.1		127.91		0.12		2.19		474
Kepler-178 c		12.97		40		0.1		20.55		0.02		2.28		877
Kepler-694 b		13.52		69		0.1		6.37		0.02		2.29		1235
Kepler-83 c		13.08		62		0.1		20.09		0.02		2.36		587
Kepler-1261 b		13.63		31		0.1		48.43		0.02		2.39		511
Kepler-1329 b		13.50		55		0.1		9.34		0.02		2.42		769
Kepler-1254 b		13.29		26		0.1		9.99		0.01		2.76		857
Kepler-1055 b		11.63		32		0.1		2.30		0.01		2.57		1730
Kepler-643 b		11.67		22		0.1		16.34		0.50		2.76		1259
Kepler-1467 b		13.70		49		0.1		47.06		0.03		2.28		562
Kepler-914 b		12.18		18		0.1		4.41		0.01		2.73		1551
Kepler-253 d		13.63		67		0.1		18.12		0.03		2.27		721
Kepler-174 d		12.29		22		0.1		247.35		0.02		2.41		251
Kepler-1640 b		13.26		58		0.1		7.58		0.08		2.38		1516
Kepler-1281 b		14.09		39		0.1		3.12		0.01		2.69		1401
Kepler-289 c		12.60		46		0.1		125.87		1.00		2.95		523
Kepler-135 b		11.51		23		0.1		6.00		0.01		2.58		1551
Kepler-819 b		13.21		46		0.1		33.20		0.02		2.29		622
Kepler-887 b		12.27		15		0.1		20.42		0.01		2.57		1025
Kepler-131 b		10.13		12		0.1		16.09		0.05		3.39		934
Kepler-766 b		14.13		65		0.1		6.10		0.03		2.28		1419
Kepler-329 c		12.85		47		0.1		18.68		0.01		2.52		476
Kepler-126 b		9.41		11		0.1		10.50		0.01		2.85		1361
Kepler-134 c		10.98		14		0.1		10.11		0.01		2.60		1230
Kepler-1438 b		13.24		35		0.1		2.32		0.00		2.16		1687
Kepler-209 c		12.43		40		0.1		41.75		0.03		2.27		630
Kepler-867 b		13.19		38		0.1		150.24		0.07		2.38		413
Kepler-1213 b		12.04		17		0.1		5.35		0.01		2.52		1526
Kepler-286 b		14.06		39		0.1		1.80		0.01		2.58		1748
Kepler-174 c		12.29		18		0.1		44.00		0.01		2.83		447
Kepler-285 c		13.44		29		0.1		6.19		0.00		2.43		1086
Kepler-629 b		11.73		24		0.1		7.24		0.01		2.73		1070
Kepler-1059 b		13.43		48		0.1		3.76		0.01		2.64		1151
Kepler-1154 b		13.42		32		0.1		5.19		0.02		2.36		1724
Kepler-1114 b		12.04		19		0.1		14.97		0.01		2.69		834
Kepler-301 c		12.82		25		0.1		5.42		0.01		2.70		1288
Kepler-173 b		12.76		27		0.1		4.26		0.01		2.63		1485
Kepler-1134 b		13.96		55		0.1		17.13		0.02		2.30		778
Kepler-112 c		12.23		39		0.1		28.57		0.02		2.35		682
Kepler-1202 b		14.05		39		0.1		28.69		0.03		2.28		793
Kepler-708 b		13.96		90		0.1		3.17		0.03		2.28		1565
Kepler-1023 b		12.90		31		0.1		62.14		0.02		2.30		543
Kepler-602 b		13.00		26		0.1		15.28		0.02		2.45		1051
Kepler-591 b		12.95		36		0.1		81.17		0.03		2.28		524
Kepler-526 b		11.57		32		0.1		5.46		0.01		2.49		1432
Kepler-1163 b		10.98		15		0.1		6.12		0.00		2.30		1588
Kepler-385 c		13.85		48		0.1		15.16		0.03		2.27		1112
Kepler-1189 b		12.77		28		0.1		3.79		0.01		2.61		1674
Kepler-324 c		12.34		42		0.1		51.81		0.03		2.27		524
Kepler-1320 b		13.71		71		0.1		0.87		0.01		2.65		1848
Kepler-857 b		13.50		71		0.1		85.35		0.13		2.22		536
Kepler-799 b		13.60		67		0.1		133.46		0.13		2.23		443
Kepler-1018 b		13.46		34		0.1		49.10		0.02		2.31		589
Kepler-614 b		12.72		50		0.1		14.03		0.02		2.35		828
Kepler-235 d		13.28		48		0.1		20.06		0.02		2.47		478
Kepler-367 b		10.75		16		0.1		37.82		0.01		2.64		480
Kepler-1465 b		12.16		24		0.1		31.83		0.01		2.61		540
Kepler-1086 b		13.07		55		0.1		18.78		0.02		2.34		578
Kepler-920 b		13.65		63		0.1		6.53		0.02		2.34		1114
Kepler-1215 b		12.81		25		0.1		4.77		0.01		2.56		1331
Kepler-332 c		12.07		23		0.1		16.00		0.00		2.39		684
Kepler-381 c		9.55		9		0.1		13.39		0.00		2.43		1330
Kepler-513 b		11.55		24		0.1		28.86		0.02		2.41		802
Kepler-1264 b		12.96		42		0.1		0.97		0.01		2.50		2380
Kepler-1137 b		11.76		12		0.1		23.92		0.02		2.41		1228
Kepler-116 c		12.49		23		0.1		13.07		0.02		2.38		1289
Kepler-990 b		13.03		45		0.1		9.92		0.02		2.31		1170
Kepler-1038 b		12.92		35		0.1		148.46		0.04		2.30		385
Kepler-641 b		12.26		23		0.1		9.49		0.01		2.56		1172
Kepler-266 b		13.91		52		0.1		6.62		0.02		2.33		1303
Kepler-625 b		11.94		37		0.1		7.75		0.01		2.49		1167
Kepler-789 b		13.09		37		0.1		8.64		0.02		2.44		1183
Kepler-273 c		13.35		45		0.1		8.01		0.01		2.50		1041
Kepler-1644 b		12.58		27		0.1		21.09		0.01		2.54		772
Kepler-334 d		11.45		11		0.1		25.10		0.01		2.76		843
Kepler-801 b		12.89		50		0.1		11.42		0.01		2.49		685
Kepler-290 c		13.58		47		0.1		36.77		0.02		2.30		547
Kepler-1133 b		13.17		34		0.1		11.56		0.01		2.50		970
Kepler-105 c		11.55		18		0.1		7.13		0.01		2.71		1348
Kepler-1477 b		12.70		23		0.1		11.56		0.01		2.50		846
Kepler-1007 b		12.33		30		0.1		5.19		0.01		2.78		958
Kepler-1384 b		13.28		36		0.1		15.36		0.01		2.52		727
Kepler-1507 b		11.46		23		0.1		16.05		0.00		1.98		827
Kepler-1317 b		13.32		65		0.1		0.57		0.01		2.75		2334
Kepler-1540 b		11.66		29		0.1		125.41		0.02		2.33		325
Kepler-721 b		13.74		83		0.1		5.39		0.02		2.30		1083
Kepler-1162 b		13.76		32		0.1		32.56		0.02		2.41		647
Kepler-500 b		12.69		50		0.1		8.51		0.02		2.31		1181
Kepler-55 d		13.36		53		0.1		2.21		0.01		2.73		1115
Kepler-1455 b		13.09		36		0.1		49.28		0.02		2.42		382
Kepler-1625 b		13.99		38		0.1		287.38		0.12		2.39		344
Kepler-149 d		12.27		29		0.1		160.02		0.05		2.35		397
Kepler-906 b		12.66		22		0.1		41.70		0.02		2.44		714
Kepler-804 c		12.30		18		0.1		9.65		0.00		2.46		1146
Kepler-1385 b		11.39		22		0.1		2.89		0.00		2.00		1831
Kepler-927 b		13.14		24		0.1		9.11		0.01		2.64		1123
Kepler-1186 b		13.81		36		0.1		16.08		0.02		2.40		890
Kepler-213 b		12.17		25		0.1		2.46		0.01		2.71		1891
Kepler-337 c		11.26		14		0.1		9.69		0.02		2.47		1450
Kepler-953 c		10.39		18		0.1		9.11		0.01		2.52		1067
Kepler-625 c		11.94		28		0.1		4.17		0.00		2.33		1436
Kepler-541 b		11.81		28		0.1		5.08		0.03		2.28		1993
Kepler-1443 b		11.10		24		0.1		2.42		0.00		2.21		2103
Kepler-1159 b		13.18		23		0.1		22.71		0.02		2.36		989
Kepler-633 b		12.10		18		0.1		8.50		0.01		2.70		1267
Kepler-1408 b		10.74		21		0.1		3.00		0.00		2.06		1975
Kepler-332 b		12.07		28		0.1		7.63		0.01		2.49		876
Kepler-194 c		13.45		42		0.1		17.31		0.02		2.31		977
Kepler-289 d		12.59		27		0.1		66.06		0.01		1.65		688
Kepler-594 b		13.10		40		0.1		13.65		0.02		2.42		892
Kepler-23 b		12.05		17		0.1		7.11		0.01		2.54		1488
Kepler-624 b		12.20		30		0.1		14.59		0.02		2.37		1097
Kepler-663 b		14.02		79		0.1		5.00		0.02		2.31		1172
