Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-22 b		10.39		254		2.0		3.53		0.56		2.45		1690
WASP-97 b		9.07		136		2.0		2.07		1.32		3.29		1832
KELT-2 A b		7.42		65		2.0		4.11		1.52		3.17		2034
HAT-P-27 b		10.25		241		2.0		3.04		0.62		2.73		1389
HAT-P-6 b		9.44		158		1.9		3.85		1.06		2.74		1990
Kepler-444 d		6.77		45		1.9		6.19		0.00		1.33		1023
WASP-58 b		10.36		244		1.9		5.02		0.89		2.51		1518
WASP-98 b		11.29		353		1.8		2.96		0.83		2.88		1410
TRAPPIST-1 d		10.71		260		1.8		18.20		0.00		2.48		207
Kepler-37 d		8.00		74		1.8		39.79		0.01		1.55		592
WASP-16 b		9.66		161		1.8		3.12		0.84		3.07		1556
WASP-50 b		10.04		185		1.7		1.96		1.47		3.36		1656
Kepler-447 b		10.88		264		1.7		7.79		1.37		2.57		1164
Kepler-444 e		6.77		42		1.7		7.74		0.00		1.37		950
WASP-26 b		9.78		161		1.7		2.76		1.02		2.72		1680
HAT-P-38 b		10.59		242		1.7		4.64		0.27		2.32		1284
HATS-13 b		12.05		472		1.7		3.04		0.54		2.26		1481
HAT-P-24 b		10.59		239		1.7		3.36		0.69		2.45		1945
WASP-75 b		10.10		187		1.7		2.48		1.07		2.85		2028
WASP-103 b		10.86		265		1.7		0.93		1.49		2.81		2979
HAT-P-9 b		11.04		282		1.6		3.92		0.78		2.33		1820
HAT-P-28 b		11.21		293		1.6		3.26		0.63		2.41		1643
WASP-104 b		9.98		171		1.6		1.76		1.27		3.24		1804
WASP-24 b		10.22		182		1.6		2.34		1.09		2.82		2104
CoRoT-1 b		12.22		450		1.5		1.51		1.03		2.49		2260
CoRoT-5 b		12.61		537		1.5		4.04		0.46		1.83		1710
WASP-28 b		10.76		219		1.5		3.41		0.91		2.77		1746
HAT-P-22 b		7.93		63		1.5		3.21		2.15		3.87		1524
WASP-45 b		10.37		189		1.5		3.13		1.01		2.97		1423
Kepler-444 f		6.77		33		1.4		9.74		0.00		1.82		880
WASP-7 b		8.41		69		1.4		4.95		0.92		3.35		1660
WASP-56 b		10.60		190		1.4		4.62		0.61		2.58		1429
WASP-68 b		9.04		94		1.4		5.08		0.96		2.78		1767
WASP-3 b		9.41		112		1.4		1.85		2.01		3.45		2367
Kepler-89 d		10.96		229		1.4		23.34		0.16		1.39		1050
HAT-P-5 b		10.52		192		1.4		2.79		1.06		2.86		1829
WASP-78 b		11.08		239		1.4		2.18		0.88		2.07		2730
Kepler-7 b		11.60		307		1.4		4.89		0.44		1.65		1852
WASP-100 b		9.71		119		1.3		2.85		2.03		2.91		2617
HATS-3 b		10.72		186		1.3		3.55		1.07		2.68		1960
CoRoT-2 b		10.44		165		1.3		1.74		3.28		3.68		1828
WASP-64 b		11.08		221		1.3		1.57		1.27		3.02		2011
Kepler-79 d		12.65		460		1.3		52.09		0.02		0.14		805
