Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
TrES-1		9.82		272		2.4		3.03		0.76		2.79		1365
KELT-06		9.08		188		2.4		7.85		0.43		2.06		1561
HAT-P-46		9.93		291		2.4		4.46		0.49		2.05		1727
HAT-P-13		8.97		184		2.4		2.92		0.91		2.36		2052
GJ_9827d		7.19		79		2.4		6.20		0.01		2.18		798
WASP-140		9.17		195		2.3		2.24		2.44		3.42		1578
WASP-123		9.36		213		2.3		2.98		0.90		2.60		1808
WASP-088		10.32		325		2.3		4.95		0.56		1.61		2097
WASP-084		8.86		167		2.3		8.52		0.69		2.93		953
WASP-083		10.39		345		2.3		4.97		0.30		1.97		1326
WASP-041		9.68		241		2.3		3.05		0.98		2.90		1479
WASP-016		9.59		232		2.3		3.12		0.83		2.68		1653
WASP-002		9.63		235		2.3		2.15		0.88		3.01		1530
Kepler-051d		13.20		1214		2.3		130.18		0.02		-0.19		454
HATS-05		10.70		393		2.3		4.76		0.24		2.00		1220
HAT-P-40		10.01		278		2.3		4.46		0.61		1.67		2101
WASP-113		10.31		307		2.2		4.54		0.47		1.83		1766
WASP-070		9.58		226		2.2		3.71		0.59		2.42		1636
WASP-004		10.75		373		2.2		1.34		1.25		2.86		1991
Kepler-012		12.07		703		2.2		4.44		0.43		1.34		1767
HAT-P-03		9.45		208		2.2		2.90		0.58		2.83		1415
XO-6		9.25		179		2.1		3.77		1.90		2.44		1876
WASP-109		10.20		281		2.1		3.32		0.91		2.43		2016
WASP-108		9.80		234		2.1		2.68		0.89		2.64		1904
WASP-090		10.25		294		2.1		3.92		0.63		1.82		2192
WASP-001		10.28		293		2.1		2.52		0.85		2.31		2172
NGTS-1		11.94		635		2.1		2.65		0.81		2.48		942
HAT-P-45		10.20		280		2.1		3.13		0.89		2.43		1961
WASP-103		10.77		344		2.0		0.93		1.47		2.64		2961
WASP-096		10.91		379		2.0		3.43		0.48		2.16		1519
WASP-078		11.01		394		2.0		2.17		0.86		1.66		2800
KELT-18		9.21		170		2.0		2.87		1.18		2.52		2477
HATS-19		11.51		493		2.0		4.57		0.43		1.39		1843
HAT-P-25		10.81		353		2.0		3.65		0.57		2.34		1431
HAT-P-04		9.77		217		2.0		3.06		0.68		2.29		2072
EPIC_229426032		10.22		269		2.0		2.18		1.36		2.59		2262
WASP-151		11.19		397		1.9		4.53		0.36		1.89		1560
WASP-132		9.67		203		1.9		7.13		0.41		2.64		905
WASP-081		10.89		360		1.9		2.72		0.73		2.23		1936
KELT-03		8.66		125		1.9		2.70		1.48		3.05		2161
K2-024c		9.18		158		1.9		42.36		0.08		1.47		729
HAT-P-06		9.31		171		1.9		3.85		1.06		2.65		2027
WASP-093		9.94		211		1.8		2.73		1.47		2.70		2312
WASP-043		9.27		161		1.8		0.81		2.03		3.89		1714
TrES-2		9.85		202		1.8		2.47		1.21		3.09		1744
KELT-02		7.35		65		1.8		4.11		1.52		3.17		2038
HATS-46		11.97		562		1.8		4.74		0.17		1.71		1256
HAT-P-39		11.16		385		1.8		3.54		0.60		1.84		2055
HAT-P-27		10.11		231		1.8		3.04		0.66		2.77		1439
WASP-156		9.34		158		1.7		3.84		0.13		2.55		1154
WASP-124		11.31		386		1.7		3.37		0.60		2.31		1654
WASP-097		9.03		137		1.7		2.07		1.32		3.29		1842
WASP-058		10.29		245		1.7		5.02		0.89		2.51		1519
WASP-022		10.32		242		1.7		3.53		0.62		2.41		1788
KELT-15		9.85		199		1.7		3.33		1.20		2.60		1951
K2-032b		9.82		194		1.7		8.99		0.05		1.86		981
HAT-P-08		8.95		131		1.7		3.08		1.27		2.94		2061
WASP-048		10.37		231		1.6		2.14		0.91		2.49		2328
WASP-003		9.36		148		1.6		1.85		1.77		3.23		2372
TrES-3		10.61		260		1.6		1.31		1.90		3.36		1949
K2-030		11.09		329		1.6		4.10		0.62		2.43		1391
HATS-29		10.88		286		1.6		4.61		0.65		2.38		1440
HAT-P-38		10.50		242		1.6		4.64		0.27		2.32		1284
HAT-P-24		10.54		248		1.6		3.35		0.68		2.44		1930
WASP-104		9.88		171		1.5		1.75		1.27		3.24		1796
WASP-092		11.52		368		1.5		2.17		0.81		2.28		2236
WASP-075		10.06		187		1.5		2.48		1.07		2.85		2028
WASP-050		9.97		184		1.5		1.96		1.44		3.36		1715
WASP-026		9.69		160		1.5		2.77		1.02		2.88		1963
Qatar-1		10.41		226		1.5		1.42		1.29		3.25		1653
K2-096b		7.07		47		1.5		0.96		0.02		2.88		2077
HATS-30		10.79		262		1.5		3.17		0.71		2.59		1683
HATS-26		11.44		346		1.5		3.30		0.65		1.71		2286
HATS-13		11.98		472		1.5		3.04		0.54		2.26		1481
HAT-P-54		10.33		216		1.5		3.80		0.76		3.10		975
CoRoT-01		12.15		493		1.5		1.51		1.03		2.41		2279
WASP-119		10.55		220		1.4		2.50		1.23		2.79		1863
WASP-098		11.28		315		1.4		2.96		0.92		2.91		1393
WASP-024		10.15		185		1.4		2.34		1.11		2.83		2108
Kepler-007		11.54		354		1.4		4.88		0.45		1.46		1927
K2-096c		7.07		43		1.4		29.84		0.03		2.40		660
HATS-51		10.87		247		1.4		3.35		0.77		2.30		1840
HATS-33		10.29		194		1.4		2.55		1.19		3.02		1700
HAT-P-28		11.10		293		1.4		3.26		0.63		2.40		1642
HAT-P-22		7.84		63		1.4		3.21		2.15		3.87		1524
WASP-102		11.11		271		1.3		2.71		0.62		2.32		1963
WASP-068		8.95		95		1.3		5.08		0.95		2.77		1769
WASP-056		10.53		204		1.3		4.17		0.57		2.52		1450
WASP-028		10.73		229		1.3		3.41		0.89		2.74		1727
WASP-023		10.45		203		1.3		2.94		0.92		3.04		1344
HD_106315c		7.85		57		1.3		21.06		0.05		2.11		1039
HATS-53		12.05		397		1.3		3.85		0.59		2.15		1558
HATS-34		12.10		425		1.3		2.11		0.94		2.48		1717
HATS-27		11.55		317		1.3		4.64		0.53		1.81		1971
HATS-25		11.42		309		1.3		4.30		0.61		2.30		1518
