Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
HD_106315b,7.85,4.1,0.0,45.6,0.00,1352,0.04
Kepler-089d,10.93,17.0,0.0,188.4,0.00,1065,0.33
Kepler-056c,10.23,11.6,0.0,136.5,0.00,1404,0.57
EPIC_211945201,8.84,6.1,0.0,72.0,0.00,1055,0.09
Kepler-075,13.12,43.2,0.0,516.5,0.00,984,10.10
Kepler-065b,9.81,9.1,0.0,112.5,0.00,2261,-1.00
Kepler-065c,9.81,8.9,0.0,112.5,0.00,1622,-1.00
K2-032b,9.82,8.7,0.0,113.0,0.00,981,0.05
K2-027b,10.70,12.4,0.0,169.5,0.00,1094,0.10
HD_097658,5.73,1.2,0.0,17.2,0.00,902,0.02
EPIC_249624646b,9.42,6.8,0.0,94.0,0.00,1462,0.00
Kepler-088b,11.45,17.2,0.0,239.4,0.00,1242,0.03
HATS-17,10.70,11.6,0.0,169.5,0.00,968,1.34
K2-138b,10.31,9.5,0.0,141.6,0.00,1556,-1.00
Kepler-018c,11.76,18.1,0.0,276.1,0.00,1185,0.05
HD_106315c,7.85,2.9,0.0,45.6,0.00,1039,0.05
Kepler-093b,8.37,3.5,0.0,58.0,0.00,1348,0.01
K2-066,10.60,9.5,0.0,161.8,0.00,1784,0.07
K2-098,10.87,10.7,0.0,183.3,0.00,1309,0.10
Kepler-089c,10.93,10.2,0.0,188.4,0.00,1373,0.05
Kepler-410,8.14,2.8,0.0,52.1,0.00,1214,0.00
Kepler-009d,12.34,18.5,0.0,360.7,0.00,1969,-1.00
K2-111,9.38,4.7,0.0,92.3,0.00,1462,0.03
K2-038b,9.47,4.8,0.0,96.2,0.00,1539,0.04
K2-138d,10.31,6.9,0.0,141.6,0.00,1179,-1.00
WASP-047d,10.19,6.3,0.0,134.0,0.00,1162,0.04
Wolf_503,7.62,1.9,0.0,41.0,0.00,940,-1.00
Kepler-050c,9.20,3.8,0.0,84.9,0.00,1521,0.00
EPIC_211418729,12.30,15.9,0.0,354.1,0.00,858,1.85
Kepler-039,12.92,21.0,0.0,471.1,0.00,1011,19.10
Kepler-080f,12.25,14.8,0.0,346.0,0.00,1620,-1.00
CoRoT-22,11.99,12.1,0.0,307.0,0.00,1197,0.00
K2-135c,7.19,1.3,0.0,33.7,0.00,967,0.00
Kepler-020b,10.87,7.2,0.0,183.3,0.00,1438,0.03
EPIC_211442297,11.72,10.1,0.0,271.1,0.00,807,0.84
Kepler-050b,9.20,3.1,0.0,84.9,0.00,1617,0.00
Kepler-089b,10.93,6.7,0.0,188.4,0.00,1932,0.03
KOI-205,12.66,14.8,0.0,417.9,0.00,909,40.80
Kepler-432,10.12,4.2,0.0,129.7,0.00,1057,5.41
Kepler-018b,11.76,8.8,0.0,276.1,0.00,1537,0.02
K2-138e,10.31,4.5,0.0,141.6,0.00,1024,-1.00
Kepler-117b,13.01,14.2,0.0,491.0,0.00,1176,0.09
CoRoT-10,11.78,8.0,0.0,278.7,0.00,770,2.78
K2-135d,7.19,0.9,0.0,33.7,0.00,810,0.01
K2-024b,9.18,2.2,0.0,84.2,0.00,885,0.06
Kepler-018d,11.76,7.2,0.0,276.1,0.00,949,0.05
K2-028,10.75,4.2,0.0,173.4,0.00,716,-1.00
EPIC_249624646c,9.42,2.2,0.0,94.0,0.00,804,0.77
CoRoT-24b,12.92,11.0,0.0,471.1,0.00,1112,0.00
K2-038c,9.47,2.2,0.0,96.2,0.00,1115,0.03
Kepler-032f,12.75,9.9,0.0,435.6,0.00,1575,-1.00
EPIC_246471491c,9.97,2.5,0.0,121.1,0.00,882,0.05
Kepler-036c,10.79,3.6,0.0,176.6,0.00,1207,0.02
GJ_1132,8.32,1.1,0.0,56.6,0.00,696,0.01
K2-229c,9.05,1.5,0.0,79.3,0.00,962,0.00
K2-019c,11.16,3.7,0.0,209.5,0.00,913,0.08
Kepler-065d,9.81,2.0,0.0,112.5,0.00,1459,0.00
Kepler-1655,9.79,1.9,0.0,111.5,0.00,1115,0.02
Kepler-454,9.97,2.0,0.0,121.1,0.00,1090,0.02
HD_119130,8.41,1.0,0.0,59.0,0.00,946,0.08
Kepler-009b,12.34,5.7,0.0,360.7,0.00,858,0.14
Kepler-020c,10.87,2.6,0.0,183.3,0.00,1004,0.04
Kepler-444b,6.70,0.3,0.0,26.9,0.00,1258,-1.00
Kepler-444c,6.70,0.3,0.0,26.9,0.00,1164,-1.00
K2-233c,8.38,0.7,0.0,58.2,0.00,947,-1.00
K2-139,9.66,1.1,0.0,105.0,0.00,672,0.39
Kepler-080d,12.25,3.5,0.0,346.0,0.00,1111,0.02
Kepler-079b,12.61,4.1,0.0,408.4,0.00,1181,0.03
Kepler-730c,14.10,7.4,0.0,811.1,0.00,1906,-1.00
K2-106c,10.34,1.2,0.0,143.6,0.00,939,0.02
K2-138f,10.31,1.2,0.0,141.6,0.00,886,-1.00
K2-180,10.68,1.3,0.0,167.9,0.00,889,0.04
Kepler-031b,13.87,5.7,0.0,729.6,0.00,1041,0.00
Kepler-693,14.18,6.2,0.0,841.6,0.00,764,0.90
Kepler-068c,8.59,0.5,0.0,64.1,0.00,1231,0.01
Kepler-117c,13.01,3.6,0.0,491.0,0.00,844,1.84
Kepler-444d,6.70,0.2,0.0,26.9,0.00,1050,-1.00
Kepler-1656,9.64,0.7,0.0,104.0,0.00,777,0.15
K2-024c,9.18,0.6,0.0,84.2,0.00,699,0.05
Kepler-419,11.86,2.0,0.0,289.1,0.00,811,2.77
Kepler-011c,12.18,2.1,0.0,335.0,0.00,1024,0.01
CoRoT-24c,12.92,2.8,0.0,471.1,0.00,841,0.09
Kepler-029b,13.66,3.8,0.0,662.4,0.00,1035,0.01
Kepler-101c,12.01,1.7,0.0,309.8,0.00,1552,0.00
K2-133b,10.28,0.7,0.0,139.7,0.00,791,-1.00
Kepler-444e,6.70,0.1,0.0,26.9,0.00,975,-1.00
K2-110,9.61,0.5,0.0,102.6,0.00,759,0.05
Kepler-080e,12.25,1.6,0.0,346.0,0.00,967,0.01
Kepler-080b,12.25,1.6,0.0,346.0,0.00,842,0.02
Kepler-069b,12.23,1.6,0.0,342.8,0.00,1017,-1.00
Kepler-036b,10.79,0.8,0.0,176.6,0.00,1273,0.01
Kepler-444f,6.70,0.1,0.0,26.9,0.00,881,-1.00
Kepler-090b,12.48,1.6,0.0,384.7,0.00,1335,0.00
Kepler-011b,12.18,1.3,0.0,335.0,0.00,1105,0.01
Kepler-020e,10.87,0.7,0.0,183.3,0.00,1224,0.00
Kepler-032e,12.75,1.6,0.0,435.6,0.00,999,-1.00
Kepler-062b,11.66,1.0,0.0,263.7,0.00,961,0.00
Kepler-089e,10.93,0.7,0.0,188.4,0.00,792,0.11
Kepler-431b,10.65,0.6,0.0,165.6,0.00,1329,-1.00
K2-096c,7.07,0.1,0.0,31.8,0.00,660,0.03
K2-032c,9.82,0.3,0.0,113.0,0.00,743,0.00
Kepler-029c,13.66,1.9,0.0,662.4,0.00,952,0.01
Kepler-431d,10.65,0.4,0.0,165.6,0.00,1102,-1.00
Kepler-079c,12.61,1.1,0.0,408.4,0.00,934,0.02
K2-155b,9.50,0.2,0.0,97.5,0.00,698,-1.00
EPIC_246471491d,9.97,0.3,0.0,121.1,0.00,737,0.00
Kepler-032b,12.75,1.0,0.0,435.6,0.00,788,0.00
KOI-1599.02,12.57,0.9,0.0,401.0,0.00,1037,0.03
Kepler-186b,11.61,0.6,0.0,257.7,0.00,819,-1.00
Kepler-080c,12.25,0.7,0.0,346.0,0.00,762,0.02
Kepler-090c,12.48,0.8,0.0,384.7,0.00,1217,0.00
Kepler-009c,12.34,0.7,0.0,360.7,0.00,677,0.09
Kepler-079d,12.61,0.7,0.0,408.4,0.00,754,0.02
Kepler-431c,10.65,0.3,0.0,165.6,0.00,1217,-1.00
Kepler-011d,12.18,0.6,0.0,335.0,0.00,836,0.02
K2-003b,8.56,0.1,0.0,63.3,0.00,611,0.02
K2-133c,10.28,0.2,0.0,139.7,0.00,677,-1.00
Kepler-066,13.62,1.0,0.0,650.3,0.00,914,-1.00
EPIC_248435473d,8.90,0.1,0.0,74.0,0.00,615,-1.00
Kepler-011e,12.18,0.4,0.0,335.0,0.00,757,0.03
K2-233d,8.38,0.1,0.0,58.2,0.00,627,-1.00
Kepler-031c,13.87,0.9,0.0,729.6,0.00,816,0.00
Kepler-046b,13.35,0.7,0.0,574.2,0.00,645,0.89
K2-021b,9.42,0.1,0.0,94.0,0.00,664,-1.00
Kepler-430b,12.39,0.4,0.0,369.1,0.00,868,-1.00
K2-032d,9.82,0.1,0.0,113.0,0.00,644,0.03
KOI-1599.01,12.57,0.4,0.0,401.0,0.00,905,0.01
LHS_1140c,8.82,0.1,0.0,71.3,0.00,521,0.01
Kepler-032c,12.75,0.4,0.0,435.6,0.00,694,0.00
Kepler-067,14.15,0.6,0.0,830.0,0.00,788,-1.00
LHS_6343,8.70,0.0,0.0,67.5,0.00,426,62.10
Kepler-051b,13.20,0.4,0.0,535.9,0.00,646,0.01
K2-229d,9.05,0.1,0.0,79.3,0.00,621,0.00
HD_080606,7.32,0.0,0.0,35.7,0.00,483,4.11
EPIC_248435473c,8.90,0.0,0.0,74.0,0.00,760,-1.00
Kepler-296c,12.60,0.3,0.0,406.5,0.00,651,-1.00
HD_021749,5.38,0.0,0.0,14.6,0.00,507,0.07
Kepler-010c,9.50,0.1,0.0,97.5,0.00,688,0.02
Kepler-087b,12.98,0.2,0.0,484.3,0.00,625,1.02
Kepler-186c,11.61,0.1,0.0,257.7,0.00,665,-1.00
Kepler-037c,7.94,0.0,0.0,47.5,0.00,737,0.00
TRAPPIST-1b,10.30,0.1,0.0,141.0,0.00,467,0.00
Kepler-030b,13.58,0.3,0.0,638.4,0.00,715,0.03
EPIC_248435473e,8.90,0.0,0.0,74.0,0.00,560,-1.00
Kepler-037d,7.94,0.0,0.0,47.5,0.00,598,0.00
K2-056,9.37,0.0,0.0,91.9,0.00,649,0.05
Kepler-020f,10.87,0.1,0.0,183.3,0.00,828,0.00
Kepler-030c,13.58,0.2,0.0,638.4,0.00,561,1.69
Kepler-062d,11.66,0.1,0.0,263.7,0.00,652,0.00
Kepler-037b,7.94,0.0,0.0,47.5,0.00,861,0.00
Kepler-289b,12.51,0.1,0.0,390.0,0.00,750,0.02
K2-021c,9.42,0.0,0.0,94.0,0.00,561,-1.00
Kepler-138c,9.51,0.0,0.0,98.0,0.00,567,0.02
K2-155c,9.50,0.0,0.0,97.5,0.00,537,-1.00
Kepler-420,12.73,0.1,0.0,431.6,0.00,544,1.45
CoRoT-09,11.69,0.0,0.0,267.4,0.00,497,0.84
EPIC_246471491e,9.97,0.0,0.0,121.1,0.00,596,0.00
K2-133d,10.28,0.0,0.0,139.7,0.00,518,-1.00
Kepler-026b,12.63,0.1,0.0,412.2,0.00,549,0.02
Kepler-011f,12.18,0.0,0.0,335.0,0.00,666,0.01
K2-095,12.47,0.1,0.0,382.9,0.00,494,-1.00
Kepler-138b,9.51,0.0,0.0,98.0,0.00,624,0.00
K2-026b,10.53,0.0,0.0,156.7,0.00,505,-1.00
EPIC_211682544,9.75,0.0,0.0,109.4,0.00,560,0.05
Kepler-079e,12.61,0.0,0.0,408.4,0.00,650,0.01
Kepler-051c,13.20,0.1,0.0,535.9,0.00,522,0.01
Kepler-090d,12.48,0.0,0.0,384.7,0.00,642,0.00
Kepler-062c,11.66,0.0,0.0,263.7,0.00,741,0.00
Kepler-038,12.34,0.0,0.0,360.7,0.00,627,0.00
Kepler-064,12.39,0.0,0.0,369.1,0.00,599,0.00
Kepler-186d,11.61,0.0,0.0,257.7,0.00,543,-1.00
Kepler-289d,12.51,0.0,0.0,390.0,0.00,481,0.41
Kepler-289c,12.51,0.0,0.0,390.0,0.00,598,0.01
Kepler-539,10.91,0.0,0.0,186.7,0.00,461,0.97
Kepler-296b,12.60,0.0,0.0,406.5,0.00,529,-1.00
TRAPPIST-1c,10.30,0.0,0.0,141.0,0.00,399,0.00
Kepler-026c,12.63,0.0,0.0,412.2,0.00,490,0.02
Kepler-047b,13.54,0.0,0.0,626.8,0.00,584,0.00
Kepler-138d,9.51,0.0,0.0,98.0,0.00,477,0.00
Kepler-020d,10.87,0.0,0.0,183.3,0.00,523,0.03
Kepler-032d,12.75,0.0,0.0,435.6,0.00,502,-1.00
KOI-415,12.66,0.0,0.0,417.9,0.00,484,62.14
K2-003c,8.56,0.0,0.0,63.3,0.00,453,0.01
KOI-3680,13.10,0.0,0.0,511.8,0.00,448,1.93
Kepler-090e,12.48,0.0,0.0,384.7,0.00,560,0.00
Kepler-051d,13.20,0.0,0.0,535.9,0.00,454,0.02
Kepler-087c,12.98,0.0,0.0,484.3,0.00,527,0.02
Kepler-430c,12.39,0.0,0.0,369.1,0.00,596,-1.00
Kepler-090f,12.48,0.0,0.0,384.7,0.00,524,0.00
Kepler-011g,12.18,0.0,0.0,335.0,0.00,490,0.00
K2-288,9.32,0.0,0.0,89.8,0.00,421,-1.00
Kepler-186e,11.61,0.0,0.0,257.7,0.00,458,-1.00
Kepler-090g,12.48,0.0,0.0,384.7,0.00,431,0.00
Kepler-296d,12.60,0.0,0.0,406.5,0.00,433,-1.00
Kepler-030d,13.58,0.0,0.0,638.4,0.00,421,0.07
Kepler-1649,12.59,0.0,0.0,404.7,0.00,411,-1.00
Kepler-035,13.88,0.0,0.0,733.0,0.00,420,0.13
K2-018b,8.90,0.0,0.0,73.9,0.00,345,0.03
TRAPPIST-1d,10.30,0.0,0.0,141.0,0.00,336,0.00
K2-003d,8.56,0.0,0.0,63.3,0.00,372,0.00
K2-155d,9.50,0.0,0.0,97.5,0.00,375,-1.00
Kepler-413,13.41,0.0,0.0,590.3,0.00,398,0.21
Kepler-437b,11.85,0.0,0.0,287.8,0.00,401,-1.00
Kepler-090h,12.48,0.0,0.0,384.7,0.00,361,0.00
Kepler-438b,11.20,0.0,0.0,213.4,0.00,380,-1.00
Kepler-436b,13.33,0.0,0.0,569.0,0.00,382,-1.00
EPIC_201702477,12.77,0.0,0.0,439.6,0.00,344,66.90
Kepler-440b,12.12,0.0,0.0,325.9,0.00,360,-1.00
Kepler-296e,12.60,0.0,0.0,406.5,0.00,361,-1.00
Kepler-034,13.24,0.0,0.0,545.9,0.00,350,0.22
Kepler-439b,12.92,0.0,0.0,471.1,0.00,386,-1.00
Kepler-069c,12.23,0.0,0.0,342.8,0.00,390,-1.00
TRAPPIST-1e,10.30,0.0,0.0,141.0,0.00,293,0.00
Kepler-453,11.92,0.0,0.0,297.2,0.00,325,0.00
Kepler-022,10.15,0.0,0.0,131.6,0.00,340,0.02
Kepler-062e,11.66,0.0,0.0,263.7,0.00,346,0.00
LHS_1140b,8.82,0.0,0.0,71.3,0.00,279,0.02
Kepler-047c,13.54,0.0,0.0,626.8,0.00,319,0.00
Kepler-443b,13.81,0.0,0.0,709.7,0.00,323,-1.00
TRAPPIST-1f,10.30,0.0,0.0,141.0,0.00,256,0.00
Kepler-1647,12.01,0.0,0.0,309.8,0.00,289,1.52
Kepler-296f,12.60,0.0,0.0,406.5,0.00,294,-1.00
Kepler-442b,12.49,0.0,0.0,386.5,0.00,305,-1.00
Kepler-016,9.00,0.0,0.0,77.5,0.00,245,0.33
TRAPPIST-1g,10.30,0.0,0.0,141.0,0.00,232,0.00
Kepler-150f,13.36,0.0,0.0,576.9,0.00,277,-1.00
Kepler-1654,11.92,0.0,0.0,297.2,0.00,245,0.00
Kepler-062f,11.66,0.0,0.0,263.7,0.00,267,0.00
Kepler-186f,11.61,0.0,0.0,257.7,0.00,254,-1.00
Kepler-421,11.54,0.0,0.0,249.5,0.00,240,-1.00
Kepler-441b,12.29,0.0,0.0,352.5,0.00,231,-1.00
TRAPPIST-1h,10.30,0.0,0.0,141.0,0.00,202,0.00
Kepler-167e,11.83,0.0,0.0,285.2,0.00,174,-1.00
