Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
WASP-168,10.44,599.7,0.0,150.3,0.00,1598,0.42
HATS-57,10.71,671.7,0.0,170.3,0.00,1701,3.15
Kepler-017,12.59,1589.4,0.0,404.7,0.00,2036,2.34
WASP-088,10.32,553.7,0.0,142.3,0.00,2097,0.56
HATS-03,10.69,648.5,0.0,168.7,0.00,1960,1.07
WASP-073,9.03,299.3,0.0,78.5,0.00,2119,1.88
HAT-P-50,10.50,583.3,0.0,154.6,0.00,2205,1.35
CoRoT-11,11.25,821.6,0.0,218.3,0.00,2033,2.34
WASP-170,10.76,652.3,0.0,174.2,0.00,1694,1.60
WASP-172,10.13,484.0,0.0,130.3,0.00,2076,0.47
XO-1,9.53,366.2,0.0,98.9,0.00,1432,0.91
HATS-26,11.44,882.4,0.0,238.3,0.00,2285,0.65
HAT-P-24,10.54,582.5,0.0,157.4,0.00,1930,0.68
WASP-068,8.95,278.1,0.0,75.7,0.00,1769,0.95
HATS-01,10.58,588.8,0.0,160.4,0.00,1628,1.85
WASP-070,9.58,368.4,0.0,101.2,0.00,1635,0.59
HAT-P-20,8.60,232.1,0.0,64.4,0.00,1146,7.22
HATS-70,12.04,1125.2,0.0,314.1,0.00,3273,12.90
WASP-066,10.45,538.5,0.0,151.0,0.00,2143,2.32
HATS-34,12.10,1148.8,0.0,322.9,0.00,1716,0.94
HAT-P-53,12.10,1145.0,0.0,322.9,0.00,2113,1.48
WASP-099,8.09,180.3,0.0,50.9,0.00,1747,2.78
HAT-P-39,11.16,739.6,0.0,209.5,0.00,2054,0.60
Qatar-4,11.52,860.5,0.0,247.2,0.00,1647,6.10
WASP-153,11.05,691.0,0.0,199.1,0.00,2036,0.39
WASP-133,11.18,731.1,0.0,211.4,0.00,2112,1.16
WASP-020,9.39,319.2,0.0,92.7,0.00,1501,0.38
WASP-028,10.73,568.4,0.0,171.8,0.00,1727,0.89
WASP-102,11.11,673.0,0.0,204.7,0.00,1962,0.62
TrES-1,9.82,370.8,0.0,113.0,0.00,1364,0.76
HATS-51,10.87,601.1,0.0,183.3,0.00,1840,0.77
WASP-006,10.32,461.7,0.0,142.3,0.00,1408,0.48
K2-029,10.06,408.6,0.0,126.2,0.00,1388,0.73
WASP-022,10.32,459.6,0.0,142.3,0.00,1787,0.62
WASP-038,8.00,156.3,0.0,48.9,0.00,1484,2.69
HAT-P-66,11.68,843.5,0.0,266.1,0.00,2260,0.78
HAT-P-46,9.93,375.2,0.0,118.9,0.00,1726,0.49
WASP-021,9.98,379.0,0.0,121.6,0.00,1621,0.28
HATS-31,11.57,787.7,0.0,253.0,0.00,2170,0.88
WASP-025,10.17,412.9,0.0,132.8,0.00,1440,0.60
HATS-09,11.48,753.8,0.0,242.7,0.00,2161,0.82
HAT-P-34,9.25,267.1,0.0,86.9,0.00,1759,3.33
