Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
WASP-014,8.62,26.2,0.403,2.24,7.59,122.35,2212
NGTS-4,11.07,80.3,0.400,1.34,0.07,19.98,1961
K2-060,10.99,76.9,0.397,3.00,0.43,22.64,1573
Kepler-026b,12.63,162.7,0.395,12.28,0.02,6.49,549
K2-019c,11.16,81.1,0.387,11.91,0.08,12.42,913
Kepler-030d,13.58,247.3,0.387,142.64,0.07,3.01,421
CoRoT-28,11.03,75.5,0.383,5.21,0.48,13.15,1622
HD_106315b,7.85,17.1,0.375,9.55,0.04,20.86,1352
Kepler-1655,9.79,41.4,0.372,11.87,0.02,10.18,1115
Kepler-010b,9.50,36.2,0.371,0.84,0.01,16.87,2602
Kepler-025b,9.49,35.6,0.367,6.24,0.03,12.70,1578
HAT-P-34,9.25,31.5,0.363,5.45,3.33,57.57,1759
Kepler-013,9.43,33.7,0.357,1.76,6.00,75.23,2594
CoRoT-07,9.81,39.9,0.354,0.85,0.02,22.44,2093
WASP-061,11.01,69.2,0.354,3.86,2.06,34.31,1851
Kepler-021,6.95,10.7,0.354,2.79,0.02,18.55,2409
HATS-42,12.25,120.2,0.348,2.29,1.88,23.77,2201
CoRoT-19,11.84,98.9,0.345,3.90,1.09,19.08,1938
Kepler-011e,12.18,115.1,0.344,32.00,0.03,4.49,757
K2-106c,10.34,49.1,0.342,13.34,0.02,9.94,939
HAT-P-31,10.08,43.3,0.340,5.00,2.17,47.00,1729
CoRoT-26,13.26,184.1,0.334,4.21,0.52,8.12,1870
K2-039,8.52,20.3,0.326,4.61,0.12,11.96,2012
K2-216,9.86,36.9,0.320,2.17,0.02,22.27,1309
Kepler-036c,10.79,53.6,0.303,16.24,0.02,5.68,1207
Kepler-089c,10.93,56.8,0.301,10.42,0.05,8.19,1373
Kepler-117b,13.01,147.8,0.301,18.80,0.09,4.51,1176
HATS-40,12.15,99.2,0.300,3.26,1.59,15.79,2491
Kepler-1656,9.64,30.9,0.297,31.58,0.15,18.90,777
Kepler-428,13.23,161.3,0.297,3.53,1.27,26.99,1269
WASP-120,9.88,34.5,0.297,3.61,4.85,55.41,2231
HATS-22,10.94,55.6,0.294,4.72,2.74,74.78,1020
K2-265,9.26,25.2,0.289,2.37,0.02,21.81,1690
Kepler-454,9.97,34.5,0.285,10.57,0.02,11.91,1090
