# TIC     |   RA      |   Dec     | EclipticLong | EclipticLat | Sector | Camera | Ccd | ColPix | RowPix
000000154 | 193.552500 | -45.412278 | 212.464023 | -36.012449 | 10 | 2 | 3 |  219.641 | 1207.958
000000154 | 193.552500 | -45.412278 | 212.464023 | -36.012449 | 11 | 2 | 4 | 1886.866 | 1211.974
000000156 | 285.096000 | -53.106806 | 280.419450 | -30.210818 | 13 | 2 | 4 |  100.217 |   54.822
000000157 |   5.618708 | -58.057444 | 331.147567 | -53.049279 |  2 | 2 | 1 |  858.165 |   48.098
000000158 | 191.703000 | -23.572639 | 200.164590 | -17.034683 | 10 | 1 | 3 | 1908.851 | 1938.665
000000159 | 346.075500 | -20.728056 | 339.061030 | -13.602892 |  2 | 1 | 4 |  693.130 | 1356.301
000000160 | 294.633000 | -54.669889 | 286.629332 | -32.642453 | 13 | 2 | 3 | 1351.033 |  510.162
000000161 |   0.774500 | -61.530667 | 324.194658 | -54.006795 |  1 | 3 | 1 | 1281.639 |   54.335
000000161 |   0.774500 | -61.530667 | 324.194658 | -54.006795 |  2 | 3 | 2 | 1971.834 |  255.966
000000162 | 296.688000 | -62.434389 | 285.847643 | -40.454510 | 13 | 2 | 3 | 1541.581 | 1859.819
000000164 | 112.419292 | -28.062111 | 120.943143 | -49.122325 |  7 | 2 | 2 |  121.456 |  875.947
000000165 | 100.571250 | -28.223194 | 104.918769 | -51.117839 |  6 | 2 | 2 | 1299.885 |  411.222
000000165 | 100.571250 | -28.223194 | 104.918769 | -51.117839 |  7 | 2 | 1 |  519.247 |  338.273
000000166 | 103.517417 | -26.949611 | 108.715102 | -49.515759 |  6 | 2 | 2 | 1776.849 |  608.839
000000166 | 103.517417 | -26.949611 | 108.715102 | -49.515759 |  7 | 2 | 1 |  910.774 |  705.479
000000167 | 108.452417 | -32.562667 | 117.181579 | -54.275599 |  7 | 3 | 2 |  246.756 |   55.113
000000168 |  80.538167 | -29.029167 |  76.486306 | -52.027201 |  5 | 2 | 2 | 1133.174 |  272.811
000000168 |  80.538167 | -29.029167 |  76.486306 | -52.027201 |  6 | 2 | 1 |  361.878 |  129.657
000000169 |  84.326708 | -26.027389 |  82.164569 | -49.314146 |  5 | 2 | 2 | 1847.599 |  629.896
000000169 |  84.326708 | -26.027389 |  82.164569 | -49.314146 |  6 | 2 | 1 |  934.515 |  745.392
000000170 | 101.994292 | -20.089306 | 105.445182 | -42.889010 |  6 | 2 | 2 | 1557.898 | 1831.920
000000170 | 101.994292 | -20.089306 | 105.445182 | -42.889010 |  7 | 2 | 1 |  342.718 | 1785.501
000000171 |   6.702417 | -55.683889 | 334.401804 | -51.623705 |  1 | 2 | 2 | 2035.966 |  146.979
000000171 |   6.702417 | -55.683889 | 334.401804 | -51.623705 |  2 | 2 | 1 | 1182.306 |  364.766
000000173 | 102.847500 | -28.941389 | 108.240830 | -51.571618 |  6 | 2 | 2 | 1660.926 |  254.035
000000173 | 102.847500 | -28.941389 | 108.240830 | -51.571618 |  7 | 2 | 1 |  902.648 |  331.394
000000174 | 140.087708 | -30.730667 | 155.334177 | -43.489826 |  8 | 2 | 2 | 1123.229 | 1782.823
000000175 | 176.628000 | -32.139944 | 191.102263 | -30.523842 | 10 | 2 | 4 | 1150.624 |  146.899
000000176 | 170.325000 | -21.611833 | 180.194140 | -23.582822 |  9 | 1 | 2 | 1245.242 | 1103.772
000000178 |  61.657792 | -24.650278 |  52.774004 | -44.496738 |  4 | 2 | 2 | 1745.021 | 1518.528
000000178 |  61.657792 | -24.650278 |  52.774004 | -44.496738 |  5 | 2 | 1 |  544.357 | 1535.724
000000180 |  67.418542 | -27.802722 |  58.928457 | -48.836784 |  5 | 2 | 1 | 1367.393 |  884.990
000000181 | 144.287625 | -28.199556 | 158.349153 | -39.656860 |  8 | 2 | 3 |  537.487 | 1812.376
000000181 | 144.287625 | -28.199556 | 158.349153 | -39.656860 |  9 | 2 | 4 | 1842.579 | 1854.400
000000183 | 101.394833 | -32.118306 | 106.911041 | -54.892041 |  6 | 3 | 1 |  742.692 |  303.048
000000183 | 101.394833 | -32.118306 | 106.911041 | -54.892041 |  7 | 3 | 2 | 1276.647 |  274.165
000000184 | 180.208833 | -45.863583 | 202.452687 | -41.105255 | 10 | 2 | 3 | 1675.862 | 1964.386
000000185 |  15.005875 | -57.095250 | 338.662189 | -55.714292 |  2 | 3 | 2 |  446.642 |  327.289
000000186 | 289.297333 | -59.108306 | 282.178066 | -36.480863 | 13 | 2 | 3 | 2010.173 | 1165.674
000000229 | 126.616042 |  10.080389 | 126.459724 |  -8.846210 |  7 | 1 | 3 |  981.412 |  529.491
000000230 | 126.616042 |  10.080389 | 126.459724 |  -8.846210 |  7 | 1 | 3 |  981.412 |  529.491
000000234 | 127.762833 |  10.847583 | 127.376892 |  -7.827962 |  7 | 1 | 3 |  809.884 |  346.627
000000235 | 126.488292 |  11.511139 | 125.990672 |  -7.487080 |  7 | 1 | 3 | 1052.253 |  283.108
000000290 | 161.707250 |  -8.600972 | 166.504496 | -15.109507 |  9 | 1 | 4 |  930.597 | 1619.089
000000291 | 117.415042 | -51.879556 | 146.261739 | -70.014528 |  7 | 3 | 4 | 1503.766 | 1074.979
000000291 | 117.415042 | -51.879556 | 146.261739 | -70.014528 |  9 | 3 | 3 |  645.622 | 1099.131
000000295 | 111.509542 |   7.615778 | 112.012394 | -14.196126 |  7 | 1 | 4 | 1265.202 | 1469.082
000000559 | 340.496208 | -68.830389 | 305.251150 | -53.861403 |  1 | 3 | 2 | 1080.593 |   51.341
000000562 |  82.714375 | -35.369222 |  78.573954 | -58.521553 |  5 | 3 | 1 | 1007.223 |  919.408
000000562 |  82.714375 | -35.369222 |  78.573954 | -58.521553 |  6 | 3 | 2 | 1278.218 |  941.907
000000563 | 215.122875 | -30.798139 | 223.080242 | -15.852756 | 11 | 1 | 4 |  443.583 | 1738.993
000000564 |  94.444792 | -34.293889 |  96.864293 | -57.628842 |  6 | 3 | 1 | 1787.406 |  664.263
000000565 |  89.599000 | -29.188194 |  89.419377 | -52.628276 |  6 | 2 | 1 | 1779.591 |  242.199
000000569 | 163.324625 | -60.594361 | 204.792341 | -58.794552 | 10 | 3 | 1 | 1610.389 |  884.193
000000569 | 163.324625 | -60.594361 | 204.792341 | -58.794552 | 11 | 3 | 2 | 1869.508 | 1146.456
000000570 | 163.101667 | -60.553194 | 204.590525 | -58.847248 | 10 | 3 | 1 | 1629.267 |  891.746
000000570 | 163.101667 | -60.553194 | 204.590525 | -58.847248 | 11 | 3 | 2 | 1884.206 | 1160.985
000000571 | 162.644667 | -60.042806 | 203.572282 | -58.666010 | 10 | 3 | 1 | 1717.143 |  852.773
