Name		Bmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-34 b		10.57		68		0.779		5.45		3.33		4.10		1553
WASP-28 b		12.50		161		0.758		3.41		0.91		2.77		1746
WASP-7 b		9.96		50		0.757		4.95		0.92		3.35		1660
WASP-25 b		12.28		144		0.753		3.76		0.58		2.31		1453
HAT-P-37 b		13.10		210		0.751		2.80		1.17		3.09		1517
WASP-80 b		12.60		166		0.748		3.07		0.55		2.76		968
TrES-1 b		12.54		161		0.745		3.03		0.75		2.84		1360
WASP-99 b		10.10		51		0.731		5.75		2.78		4.09		1748
WASP-6 b		12.90		177		0.696		3.36		0.52		2.20		1408
WASP-68 b		11.37		86		0.687		5.08		0.96		2.78		1767
WASP-38 b		9.95		45		0.685		6.87		2.71		4.08		1495
WASP-58 b		12.33		129		0.66		5.02		0.89		2.51		1518
WASP-44 b		13.70		235		0.636		2.42		0.89		2.88		1603
HAT-P-3 b		12.22		117		0.626		2.90		0.60		2.95		1378
WASP-67 b		12.90		159		0.624		4.61		0.42		1.71		1222
WASP-22 b		12.39		124		0.617		3.53		0.56		2.45		1690
HAT-P-9 b		12.84		153		0.616		3.92		0.78		2.33		1820
CoRoT-11 b		13.73		230		0.614		2.99		2.35		3.39		2060
HAT-P-12 b		12.60		136		0.612		3.21		0.21		1.78		1140
HATS-9 b		14.08		266		0.605		1.92		0.84		2.95		2161
WASP-16 b		12.52		127		0.592		3.12		0.84		3.07		1556
HAT-P-45 b		13.70		217		0.587		3.13		0.89		2.43		1961
WASP-39 b		12.93		149		0.575		4.06		0.28		1.52		1329
WASP-45 b		13.33		178		0.573		3.13		1.01		2.97		1423
WASP-55 b		12.69		130		0.56		4.47		0.57		2.17		1510
HAT-P-28 b		13.40		170		0.53		3.26		0.63		2.41		1643
WASP-21 b		12.12		92		0.516		4.32		0.30		1.92		1500
WASP-61 b		12.83		126		0.512		3.86		2.05		3.55		1843
KELT-6 b		10.83		49		0.501		7.85		0.43		2.06		1561
HAT-P-27 b		13.19		142		0.487		3.04		0.62		2.73		1389
Kepler-12 b		13.96		202		0.486		4.44		0.43		1.36		1761
WASP-37 b		13.30		147		0.479		3.58		1.79		3.54		1577
HAT-P-44 b		13.20		130		0.445		4.30		0.35		1.78		1313
HATS-4 b		14.26		212		0.445		2.16		1.32		3.50		1648
CoRoT-18 b		15.79		429		0.443		1.90		3.49		3.96		1815
WASP-8 b		10.52		36		0.429		8.16		2.14		3.94		1103
WASP-23 b		13.56		147		0.425		2.94		0.87		3.20		1343
HAT-P-46 b		12.90		108		0.423		4.46		0.49		2.05		1727
HAT-P-35 b		13.71		156		0.421		3.65		1.05		2.74		1877
HAT-P-31 b		12.01		66		0.393		5.01		2.17		3.89		1640
HAT-P-21 b		12.79		93		0.385		4.12		4.08		4.61		1514
WASP-11 b		12.89		94		0.373		3.72		0.54		2.83		1134
WASP-29 b		12.12		65		0.368		3.92		0.24		2.31		1158
WASP-56 b		12.74		82		0.348		4.62		0.61		2.58		1429
WASP-57 b		13.60		122		0.348		2.84		0.68		3.04		1494
XO-5 b		12.97		89		0.339		4.19		1.15		3.34		1436
HATS-13 b		14.68		194		0.336		3.04		0.54		2.26		1481
HAT-P-25 b		14.12		142		0.318		3.65		0.57		2.34		1431
HAT-P-29 b		12.30		60		0.31		5.72		0.78		2.80		1496
CoRoT-5 b		14.67		170		0.295		4.04		0.46		1.83		1710
HATS-14 b		14.68		161		0.279		2.77		1.07		3.25		1516
WASP-83 b		12.79		67		0.279		4.97		0.30		1.97		1326
WASP-117 b		10.74		25		0.269		10.02		0.28		1.92		1218
HATS-10 b		13.82		101		0.26		3.31		0.53		2.68		1673
CoRoT-19 b		14.57		136		0.247		3.90		1.11		2.85		1974
Kepler-14 b		12.24		43		0.229		6.79		8.41		5.13		1848
WASP-60 b		12.86		57		0.228		4.31		0.51		2.89		1568
WASP-84 b		11.64		32		0.227		8.52		0.69		3.01		947
HAT-P-17 b		11.37		28		0.226		10.34		0.53		2.60		927
Kepler-435 b		14.00		96		0.226		8.60		0.84		1.71		2032
CoRoT-12 b		16.34		280		0.225		2.83		0.92		2.44		1716
CoRoT-14 b		16.89		358		0.223		1.51		7.69		5.12		2321
HD 17156 b		8.81		8		0.219		21.22		3.30		4.41		1060
GJ 436 b		12.20		37		0.203		2.64		0.07		2.59		772
HAT-P-38 b		13.14		54		0.19		4.64		0.27		2.32		1284
HATS-5 b		13.44		61		0.189		4.76		0.24		2.00		1220
WASP-106 b		12.04		32		0.188		9.29		1.93		3.75		1373
Kepler-426 b		15.74		151		0.161		3.22		1.00		3.08		1549
HAT-P-11 b		10.60		14		0.159		4.89		0.08		2.49		1036
WTS-1 b		16.63		222		0.156		3.35		4.00		3.84		1780
Kepler-77 b		15.03		99		0.146		3.58		0.43		2.50		1485
CoRoT-3 b		14.20		67		0.145		4.26		21.85		6.32		2016
Kepler-433 b		15.08		99		0.143		5.33		2.82		3.55		2099
Kepler-1517 b		12.71		32		0.139		5.55		0.70		3.17		2101
HAT-P-26 b		12.63		30		0.134		4.23		0.06		1.56		1182
HATS-6 b		16.66		165		0.114		3.33		0.32		2.12		847
HAT-P-15 b		12.77		26		0.112		10.86		1.95		3.79		1069
Kepler-78 b		12.87		27		0.111		0.36		0.01		2.65		2625
Kepler-74 b		14.50		55		0.104		7.34		0.67		2.30		1483
Kepler-428 b		16.58		135		0.0976		3.53		1.27		3.34		1270
Kepler-425 b		16.05		96		0.0887		3.80		1.00		3.30		1275
