Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
XO-2		9.31		173		1.9		2.62		0.60		2.70		1607
WASP-049		9.75		209		1.9		2.78		0.40		1.97		1663
WASP-026		9.69		205		1.9		2.77		1.02		2.88		1963
WASP-016		9.59		188		1.9		3.12		0.83		2.68		1653
TrES-4		10.33		277		1.9		3.55		0.49		1.33		2151
Kepler-013		9.43		180		1.9		1.76		6.00		4.37		2595
HATS-23		12.26		654		1.9		2.16		1.47		2.40		1970
WASP-142		11.44		424		1.8		2.05		0.84		2.23		2390
WASP-007		8.40		105		1.8		4.96		0.98		2.60		1820
HAT-P-16		9.55		181		1.8		2.78		4.19		4.34		1865
HAT-P-04		9.77		195		1.8		3.06		0.68		2.29		2072
WASP-065		10.35		241		1.7		2.31		1.55		3.48		1766
WASP-062		8.94		131		1.7		4.41		0.57		2.03		1698
WASP-041		9.68		180		1.7		3.05		0.98		2.90		1479
WASP-034		8.79		118		1.7		4.32		0.59		2.33		1378
KELT-10		9.34		155		1.7		4.17		0.68		2.20		1637
HATS-33		10.29		237		1.7		2.55		1.19		3.02		1700
HAT-P-06		9.31		154		1.7		3.85		1.06		2.65		2027
HAT-P-02		7.60		68		1.7		5.63		8.74		5.08		1801
HAT-P-01		8.86		122		1.7		4.46		0.53		2.06		1575
XO-6		9.25		140		1.6		3.77		1.90		2.44		1876
WASP-109		10.20		212		1.6		3.32		0.91		2.43		2016
WASP-092		11.52		384		1.6		2.17		0.81		2.28		2236
WASP-091		9.71		169		1.6		2.80		1.34		3.49		1360
WASP-081		10.89		291		1.6		2.72		0.73		2.23		1936
Qatar-6		9.23		137		1.6		3.51		0.67		2.73		1197
HAT-P-45		10.20		217		1.6		3.13		0.89		2.43		1961
WASP-120		9.88		179		1.5		3.61		4.85		4.06		2231
WASP-063		9.39		135		1.5		4.38		0.38		1.57		1876
WASP-032		10.16		195		1.5		2.72		3.60		4.21		1857
WASP-031		10.65		241		1.5		3.41		0.48		1.64		1836
WASP-015		9.69		162		1.5		3.75		0.59		2.05		2047
TrES-1		9.82		169		1.5		3.03		0.76		2.79		1365
GJ_0436		6.07		30		1.5		2.64		0.08		2.74		753
WASP-131		8.57		88		1.4		5.32		0.27		1.55		1713
WASP-010		9.98		164		1.4		3.09		3.14		4.32		1150
WASP-006		10.32		192		1.4		3.36		0.48		2.12		1408
Qatar-4		11.52		357		1.4		1.80		6.10		4.81		1647
Kepler-017		12.59		552		1.4		1.49		2.34		3.57		2037
K2-029		10.06		173		1.4		3.26		0.73		2.59		1388
HATS-34		12.10		445		1.4		2.11		0.94		2.48		1717
