Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-02		8.71		68		0.8		5.63		8.74		5.08		1801
WASP-120		10.96		179		0.7		3.61		4.85		4.06		2231
WASP-119		12.27		324		0.7		2.50		1.23		2.79		1863
WASP-109		11.44		212		0.7		3.32		0.91		2.43		2016
WASP-081		12.29		291		0.7		2.72		0.73		2.23		1936
WASP-065		11.90		241		0.7		2.31		1.55		3.48		1766
WASP-049		11.36		209		0.7		2.78		0.40		1.97		1663
WASP-016		11.31		188		0.7		3.12		0.83		2.68		1653
WASP-015		10.92		162		0.7		3.75		0.59		2.05		2047
WASP-002		11.98		258		0.7		2.15		0.88		3.01		1530
KELT-10		10.70		155		0.7		4.17		0.68		2.20		1637
HATS-23		13.90		654		0.7		2.16		1.47		2.40		1970
HATS-02		13.56		563		0.7		1.35		1.34		3.24		1873
HAT-P-01		10.40		122		0.7		4.46		0.53		2.06		1575
XO-4		10.67		125		0.6		4.12		1.61		3.18		1953
XO-2		11.25		173		0.6		2.62		0.60		2.70		1607
WASP-136		9.98		95		0.6		5.21		1.51		3.02		2073
WASP-131		10.08		88		0.6		5.32		0.27		1.55		1713
WASP-118		11.02		142		0.6		4.05		0.52		1.94		2086
WASP-092		13.18		384		0.6		2.17		0.81		2.28		2236
WASP-070		10.79		125		0.6		3.71		0.59		2.42		1636
WASP-041		11.64		180		0.6		3.05		0.98		2.90		1479
WASP-034		10.37		118		0.6		4.32		0.59		2.33		1378
WASP-032		11.56		195		0.6		2.72		3.60		4.21		1857
WASP-031		11.94		241		0.6		3.41		0.48		1.64		1836
TrES-5		13.72		520		0.6		1.48		1.79		3.48		1767
K2-034		11.45		172		0.6		3.00		1.65		3.36		1988
HATS-33		11.91		237		0.6		2.55		1.19		3.02		1700
HAT-P-40		11.34		176		0.6		4.46		0.61		1.67		2101
HAT-P-20		11.34		177		0.6		2.88		7.22		5.18		1147
HAT-P-14		10.00		86		0.6		4.63		2.27		3.68		1932
XO-1		11.14		129		0.5		3.94		0.92		2.80		1440
WTS-2		15.90		1178		0.5		1.02		1.12		2.75		1826
WASP-133		12.88		268		0.5		2.18		1.16		3.02		2112
WASP-090		11.69		183		0.5		3.92		0.63		1.82		2192
WASP-088		11.39		152		0.5		4.95		0.56		1.61		2097
WASP-080		11.87		175		0.5		3.07		0.56		2.71		982
WASP-073		10.48		96		0.5		4.09		1.88		3.59		2119
WASP-063		11.16		135		0.5		4.38		0.38		1.57		1876
WASP-020		10.68		99		0.5		4.90		0.38		1.79		1501
WASP-006		12.16		192		0.5		3.36		0.48		2.12		1408
TrES-1		11.79		169		0.5		3.03		0.76		2.79		1365
Qatar-6		11.44		137		0.5		3.51		0.67		2.73		1197
Kepler-017		14.30		552		0.5		1.49		2.34		3.57		2037
HATS-34		13.85		445		0.5		2.11		0.94		2.48		1717
HATS-26		12.96		298		0.5		3.30		0.65		1.71		2286
HATS-09		13.28		323		0.5		1.92		0.82		2.73		2161
HATS-01		12.05		187		0.5		3.45		1.85		3.35		1628
HAT-P-66		12.99		289		0.5		2.97		0.78		2.08		2260
HAT-P-50		11.76		176		0.5		3.12		1.35		3.05		2205
HAT-P-47		10.69		99		0.5		4.73		0.21		1.13		1908
HAT-P-24		11.75		156		0.5		3.35		0.68		2.44		1930
HAT-P-05		12.00		205		0.5		2.79		1.06		2.86		1805
WASP-153		12.79		227		0.4		3.33		0.39		1.44		2036
WASP-126		11.20		99		0.4		3.29		0.28		2.06		1769
WASP-113		11.77		125		0.4		4.54		0.47		1.83		1766
WASP-110		12.27		160		0.4		3.78		0.51		2.16		1360
WASP-102		12.73		215		0.4		2.71		0.62		2.32		1963
WASP-099		9.48		51		0.4		5.75		2.78		4.09		1748
WASP-096		12.19		153		0.4		3.43		0.48		2.16		1519
WASP-091		11.99		169		0.4		2.80		1.34		3.49		1360
WASP-068		10.68		87		0.4		5.08		0.95		2.77		1769
WASP-066		11.61		141		0.4		4.09		2.32		3.44		2143
WASP-058		11.66		130		0.4		5.02		0.89		2.51		1519
WASP-055		11.76		124		0.4		4.47		0.63		2.21		1547
WASP-053		12.19		149		0.4		3.31		2.13		3.87		1252
WASP-039		12.10		149		0.4		4.05		0.28		1.50		1344
WASP-038		9.45		46		0.4		6.87		2.69		4.07		1484
WASP-028		12.15		166		0.4		3.41		0.89		2.74		1727
WASP-025		11.85		146		0.4		3.77		0.60		2.30		1441
WASP-022		11.71		131		0.4		3.53		0.62		2.41		1788
WASP-021		11.59		118		0.4		4.32		0.28		1.67		1621
WASP-010		12.39		164		0.4		3.09		3.14		4.32		1150
Qatar-4		13.60		357		0.4		1.80		6.10		4.81		1647
HATS-51		12.47		201		0.4		3.35		0.77		2.30		1840
HATS-31		13.11		256		0.4		3.38		0.88		2.14		2170
HATS-30		12.19		158		0.4		3.17		0.71		2.59		1683
HATS-03		12.44		177		0.4		3.55		1.07		2.68		1960
HAT-P-53		13.73		380		0.4		1.96		1.48		3.10		2113
HAT-P-45		12.79		217		0.4		3.13		0.89		2.43		1961
HAT-P-39		12.42		207		0.4		3.54		0.60		1.84		2055
HAT-P-34		10.16		68		0.4		5.45		3.33		4.10		1759
HAT-P-03		11.86		132		0.4		2.90		0.58		2.83		1415
CoRoT-11		12.80		229		0.4		2.99		2.34		3.40		2033
XO-5		12.13		107		0.3		4.19		1.19		3.16		1442
WASP-141		12.42		145		0.3		3.31		2.69		3.86		1875
WASP-138		11.81		106		0.3		3.63		1.22		3.28		1896
WASP-124		12.70		166		0.3		3.37		0.60		2.31		1654
WASP-112		13.33		212		0.3		3.04		0.88		2.78		1648
WASP-098		12.98		201		0.3		2.96		0.92		2.91		1393
